2013 Measure Data: Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,
,,,,,Drug Plan Customer Service,,,,,"Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance",,,,Member Experience with Drug Plan,,,Patient Safety and Accuracy of Drug Pricing ,,,,,
H7728,Local CCP,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7787,Local CCP,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",HealthSpring Medicare Advantage PPO,CIGNA,0:32,81%,0,Not enough data available,87%,0.97,80,14%,Medicare shows only a star rating for this topic,83%,88%,93%,99,11.20%,86.30%,68.90%,69.00%,64.20%
H7811,Local CCP,ARCADIAN HEALTH PLAN,"Arcadian Health Plan, Inc.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7908,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,0:42,89%,Not enough data available,Not enough data available,93%,Not enough data available,40,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,98,3.00%,87.40%,59.50%,73.40%,61.90%
H7917,Local CCP,"BLUECROSS BLUESHIELD OF TENNESSEE, INC.",BlueCross BlueShield of Tennessee,BlueCross BlueShield of Tennessee,0:25,91%,8.9,48%,97%,0.32,60,11%,Medicare shows only a star rating for this topic,Not enough data available,84%,91%,99,11.00%,83.30%,74.60%,75.30%,67.10%
H7949,Local CCP,"PACIFICARE OF NEVADA, INC.",SecureHorizons by UnitedHealthcare,"UnitedHealth Group, Inc.",0:11,91%,0,Not enough data available,97%,1.6,12,10%,Medicare shows only a star rating for this topic,86%,87%,94%,99,7.10%,88.30%,78.20%,75.20%,75.90%
H7971,Local CCP,"HORIZON HEALTHCARE OF NEW JERSEY, INC.",Horizon Blue Cross Blue Shield of New Jersey,"Horizon Healthcare Services, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8050,Local CCP,"CARILION CLINIC MEDICARE RESOURCES, LLC",Carilion Clinic Medicare Health Plan,"Carilion Services, Inc.",0:11,94%,Not enough data available,Not enough data available,89%,1.39,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,98,6.90%,82.50%,79.00%,70.00%,68.60%
H8064,Local CCP,FIRSTCAROLINACARE INSURANCE COMPANY,FirstCarolinaCare Insurance Company,"FirstHealth of the Carolinas, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8091,Local CCP,USABLE MUTUAL INSURANCE COMPANY,ARKANSAS BLUE CROSS AND BLUE SHIELD,USAble Mutual Insurance Company,0:25,95%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,80,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,98,13.10%,Not enough data available,Not enough data available,64.20%,Not enough data available
H8098,PFFS,UNIVERSAL HEALTH CARE INSURANCE COMPANY,"Universal Health Care Insurance Company, Inc.","Universal Health Care Group, Inc.",0:08,48%,CMS identified issues with plan’s data,Not enough data available,86%,0.38,19,21%,Not enough data available,76%,81%,91%,99,6.70%,83.00%,67.20%,67.20%,61.60%
H8130,Local CCP,"MOLINA HEALTHCARE OF FLORIDA, INC.",Molina Healthcare of Florida,"Molina Healthcare, Inc.,",0:24,77%,Not enough data available,Not enough data available,100%,0.59,100,31%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,99,6.40%,90.80%,61.80%,56.90%,50.10%
H8145,PFFS,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:09,97%,0.2,94%,94%,0.36,67,16%,Not enough data available,82%,86%,91%,97,8.20%,83.10%,76.20%,76.40%,71.80%
H8189,Local CCP,"MANAGED HEALTH SERVICES, WISCONSIN",Advantage by Managed Health Services,Centene Corporation,0:16,88%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H8393,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Health Care Inc.,0:08,89%,15.1,Not enough data available,95%,0.18,40,10%,Medicare shows only a star rating for this topic,83%,82%,90%,99,5.80%,76.40%,75.00%,76.30%,70.60%
H8552,Local CCP,ANTHEM BLUE CROSS LIFE AND HEALTH INS COMPANY,Anthem Blue Cross Life and Health Insurance Co.,"WellPoint, Inc.",0:06,64%,Not enough data available,Not enough data available,91%,0.72,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H8558,Local CCP,STERLING LIFE INSURANCE COMPANY,Fresenius Health Partners,Munich American Holding Corporation,0:20,96%,Not enough data available,Not enough data available,92%,0.81,80,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,85,2.80%,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H8578,Local CCP,"HEALTH NEW ENGLAND, INC.",HNE Medicare Advantage Plans,"Baystate Health, Inc.",0:09,75%,0,Not enough data available,Not enough data available,0.12,100,2%,Medicare shows only a star rating for this topic,88%,87%,94%,99,4.80%,83.00%,81.90%,80.50%,77.10%
H8604,Local CCP,THP INSURANCE COMPANY,Health Plan SecureChoice,Health Plan of the Upper Ohio Valley,0:11,91%,Not enough data available,Not enough data available,37%,Not enough data available,80,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,99,9.40%,83.20%,77.60%,83.40%,68.40%
H8644,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:09,97%,0,Not enough data available,97%,0.55,67,10%,Medicare shows only a star rating for this topic,83%,84%,91%,98,11.20%,85.00%,75.60%,73.70%,69.90%
H8649,Local CCP,"ALTIUS HEALTH PLANS, INC.",Altius Health Plans,Coventry Health Care Inc.,0:08,89%,0,Not enough data available,84%,0.23,40,18%,Medicare shows only a star rating for this topic,Not enough data available,83%,91%,99,7.40%,89.60%,73.40%,70.90%,66.90%
H8684,Local CCP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,0:47,89%,0,Not enough data available,Not enough data available,0.51,20,1%,Not enough data available,Not enough data available,83%,91%,98,3.70%,79.90%,77.70%,81.50%,78.20%
H8707,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:11,97%,0,Not enough data available,96%,0.27,67,16%,Medicare shows only a star rating for this topic,87%,86%,90%,97,9.80%,84.50%,74.20%,73.90%,68.50%
H8748,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,91%,0,Not enough data available,97%,0.96,0,16%,Medicare shows only a star rating for this topic,81%,84%,91%,99,7.40%,83.70%,69.10%,69.10%,64.70%
H8822,Local CCP,"ADVANTAGE HEALTH SOLUTIONS, INC.","ADVANTAGE Health Solutions, Inc.",Advantage Health Solutions,0:22,93%,0,Not enough data available,96%,0.17,100,12%,Medicare shows only a star rating for this topic,86%,87%,93%,99,9.30%,85.00%,66.50%,66.20%,59.40%
H8870,Local CCP,MOLINA HEALTHCARE OF ILLINOIS,Molina Healthcare of Illinois,"Molina Healthcare, Inc.,",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8908,Local CCP,"HUMANA MEDICAL PLAN OF MICHIGAN, INC.","Humana Medical Plan of Michigan, Inc.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8953,Local CCP,"HUMANA HEALTH PLAN OF OHIO, INC.","Humana Health Plan of Ohio, Inc.",Humana Inc.,0:11,97%,1.6,Not enough data available,97%,0.61,67,11%,Medicare shows only a star rating for this topic,83%,86%,90%,97,7.70%,85.80%,79.00%,77.50%,70.90%
H8980,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,HealthAmerica,Coventry Health Care Inc.,0:11,89%,7.7,Not enough data available,97%,0.12,40,10%,Medicare shows only a star rating for this topic,Not enough data available,86%,93%,99,5.40%,80.70%,71.60%,71.40%,68.60%
H8991,Local CCP,"AMERIGROUP FLORIDA, INC.",Amerigroup Community Care,AMERIGROUP Corporation,0:17,75%,0,Not enough data available,Not enough data available,1.08,80,17%,Medicare shows only a star rating for this topic,82%,85%,91%,99,11.40%,86.00%,62.00%,58.90%,53.40%
H9001,Local CCP,FALLON COMMUNITY HEALTH PLAN,Fallon Senior Plan or NaviCare,Fallon Community Health Plan,0:24,81%,0,Not enough data available,92%,0.25,80,3%,Medicare shows only a star rating for this topic,Not enough data available,87%,94%,98,5.10%,79.80%,81.60%,83.60%,78.40%
H9003,Local CCP,KAISER FOUNDATION HP OF THE N W,Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",0:06,95%,0.2,Not enough data available,90%,0.24,80,1%,Medicare shows only a star rating for this topic,91%,91%,97%,99,4.40%,87.60%,86.30%,85.80%,83.00%
H9011,Local CCP,"UNITEDHEALTHCARE OF FLORIDA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,93%,0,Not enough data available,96%,2.68,12,30%,Medicare shows only a star rating for this topic,Not enough data available,81%,90%,99,5.90%,83.50%,69.50%,70.70%,61.60%
H9047,Local CCP,PROVIDENCE HEALTH PLAN,Providence Health Plans,Providence Health & Services,0:18,94%,0.4,Not enough data available,93%,0.03,80,3%,Medicare shows only a star rating for this topic,91%,86%,95%,98,7.90%,84.90%,80.50%,81.00%,77.70%
H9082,Local CCP,"MOLINA HEALTHCARE OF NEW MEXICO, INC.","Molina Healthcare of New Mexico, Inc.","Molina Healthcare, Inc.,",0:20,77%,Not enough data available,Not enough data available,95%,0.58,80,Not enough data available,Not enough data available,Not enough data available,84%,88%,99,8.00%,89.60%,62.20%,64.20%,65.70%
H9104,Local CCP,SCAN HEALTH PLAN,SCAN Health Plan,SCAN Health Plan,0:10,57%,CMS identified issues with plan’s data,80%,Not enough data available,0.21,32,5%,Medicare shows only a star rating for this topic,83%,87%,91%,96,8.30%,83.60%,73.30%,75.10%,73.10%
H9285,Local CCP,"ATLANTIS HEALTH PLAN, INC.",EASY CHOICE HEALTH PLAN OF NEW YORK,"America¿s 1st Choice NY Holdings, LLC",0:12,94%,Not enough data available,Not enough data available,98%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H9302,Local CCP,"SOUNDPATH HEALTH, INC.",Soundpath Health,"Puget Sound Health Partners, Inc.",0:16,75%,0.9,Not enough data available,67%,0.34,80,8%,Medicare shows only a star rating for this topic,85%,85%,92%,99,7.50%,85.70%,78.90%,79.60%,75.60%
H9385,Local CCP,SCAN HEALTH PLAN OF ARIZONA,SCAN Health Plan Arizona,SCAN Health Plan,0:10,69%,14,Not enough data available,94%,0.2,12,19%,Medicare shows only a star rating for this topic,84%,83%,90%,97,7.40%,83.30%,72.80%,74.40%,70.90%
H9412,Local CCP,"GEISINGER QUALITY OPTIONS, INC.",Geisinger Gold,Geisinger Health System,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9503,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:08,97%,0,Not enough data available,94%,0.59,67,16%,Medicare shows only a star rating for this topic,83%,83%,88%,97,8.70%,87.10%,72.70%,72.70%,69.40%
H9525,Local CCP,COMPCARE HEALTH SERVICES INSURANCE CORPORATION,Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9572,Local CCP,BLUE CROSS BLUE SHIELD OF MICHIGAN,Blue Cross Blue Shield of Michigan,Blue Cross Blue Shield of Michigan,0:11,76%,4.9,Not enough data available,89%,0.04,80,2%,Medicare shows only a star rating for this topic,Not enough data available,85%,94%,99,4.60%,82.30%,79.70%,83.10%,78.80%
H9615,Local CCP,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,"MVP Health Care, Inc.",0:11,97%,0,Not enough data available,91%,0.43,100,9%,Medicare shows only a star rating for this topic,88%,85%,93%,99,5.00%,82.10%,80.70%,84.00%,78.10%
H9670,Local CCP,"UPMC HEALTH BENEFITS, INC.",UPMC Health Plan,University of Pittsburgh Medical Center,0:13,94%,Not enough data available,Not enough data available,Not enough data available,0.15,100,0%,Not enough data available,Not enough data available,85%,96%,98,10.40%,72.70%,71.50%,78.40%,74.90%
H9730,Local CCP,"WELLCARE HEALTH INSURANCE OF ILLINOIS, INC.",WellCare,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9834,Local CCP,GUNDERSEN LUTHERAN HEALTH PLAN MINNESOTA,Gundersen Lutheran Health Plan Minnesota,Gundersen Lutheran Health System Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9847,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Health Care Inc.,0:11,89%,13.5,Not enough data available,97%,0.27,40,10%,Medicare shows only a star rating for this topic,81%,85%,93%,99,8.50%,82.40%,69.40%,71.80%,65.00%
H9859,Local CCP,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,"MVP Health Care, Inc.",0:11,97%,0,Not enough data available,77%,0.31,100,4%,Medicare shows only a star rating for this topic,85%,86%,92%,99,4.80%,83.70%,78.20%,82.90%,78.40%
H9915,Local CCP,"MEDSTAR FAMILY CHOICE, INC.","MedStar Family Choice, Inc","Medstar Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9947,Local CCP,"BLUE CROSS BLUE SHIELD OF GEORGIA, INC.",Blue Cross Blue Shield of Georgia,"WellPoint, Inc.",0:07,69%,Not enough data available,Not enough data available,93%,0.76,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
R3175,Regional CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:09,89%,3.4,Not enough data available,99%,0.29,0,9%,Medicare shows only a star rating for this topic,Not enough data available,83%,90%,99,5.70%,85.10%,67.60%,68.70%,68.00%
R3332,Regional CCP,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Florida Blue,Blue Cross and Blue Shield of Florida,0:23,93%,0.8,78%,88%,0.6,80,12%,Medicare shows only a star rating for this topic,84%,82%,90%,99,5.20%,83.00%,73.60%,76.70%,70.20%
R3444,Regional CCP,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,Care Improvement Plus,"UnitedHealth Group, Inc.",0:08,91%,1.9,Not enough data available,88%,0.38,100,14%,Medicare shows only a star rating for this topic,Not enough data available,85%,91%,99,13.30%,84.80%,69.40%,67.30%,64.30%
R5287,Regional CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,90%,CMS identified issues with plan’s data,81%,96%,0.38,0,19%,Medicare shows only a star rating for this topic,84%,81%,91%,99,7.10%,83.60%,70.50%,69.90%,66.00%
R5342,Regional CCP,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,90%,0.6,Not enough data available,96%,0.45,0,12%,Medicare shows only a star rating for this topic,Not enough data available,82%,92%,99,5.70%,83.80%,74.20%,75.20%,71.80%
R5826,Regional CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:09,97%,0.3,92%,95%,0.5,67,8%,Medicare shows only a star rating for this topic,Not enough data available,82%,88%,98,8.70%,84.20%,75.50%,75.50%,71.10%
R5941,Regional CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:07,74%,5.5,46%,94%,0.31,47,6%,Medicare shows only a star rating for this topic,86%,85%,90%,97,7.70%,82.80%,73.80%,75.60%,70.30%
R6801,Regional CCP,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,Care Improvement Plus,"UnitedHealth Group, Inc.",0:08,91%,1.9,Not enough data available,93%,0.37,80,16%,Medicare shows only a star rating for this topic,83%,85%,89%,99,10.20%,86.70%,66.40%,65.10%,59.60%
R7439,Regional CCP,HAWAII MEDICAL SERVICE ASSOCIATION,Akamai Advantage by HMSA,Hawaii Medical Service Association,0:15,88%,6.8,Not enough data available,94%,0.07,80,11%,Not enough data available,81%,86%,94%,99,4.40%,85.90%,77.70%,76.30%,73.30%
R7444,Regional CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:13,91%,1.2,Not enough data available,95%,0.63,0,48%,Medicare shows only a star rating for this topic,Not enough data available,83%,93%,99,4.60%,85.60%,75.60%,77.40%,70.70%
R9896,Regional CCP,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO,Care Improvement Plus,"UnitedHealth Group, Inc.",0:11,91%,2.6,Not enough data available,90%,0.35,80,12%,Medicare shows only a star rating for this topic,82%,86%,91%,99,12.10%,85.90%,65.40%,63.60%,58.50%
S0043,PDP,"PREFERRED MEDICARE CHOICE, INC.","Preferred Medicare Choice, Inc.",Aveta Inc.,0:13,84%,12.9,Not enough data available,Not enough data available,0.37,100,17%,Medicare shows only a star rating for this topic,80%,77%,83%,94,2.50%,87.80%,55.10%,59.70%,33.10%
S0064,PDP,UNITED PROSPERITY LIFE INSURANCE COMPANY,SmartD Rx,"RCGM, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S0128,PDP,HEALTHMARKETS INSURANCE COMPANY,HealthMarkets Medicare,"HealthMarkets, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S0197,PDP,CAMBRIDGE LIFE INSURANCE COMPANY,First Health Part D,Coventry Health Care Inc.,0:11,86%,0,Not enough data available,98%,0.44,40,17%,Medicare shows only a star rating for this topic,Not enough data available,85%,93%,99,8.70%,82.50%,79.40%,74.90%,74.50%
S0223,PDP,"HEALTH FIRST HEALTH PLANS, INC",Health First Medicare Prescription Drug Plan,Health First,0:25,83%,Not enough data available,Not enough data available,90%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
S0586,PDP,"MVP HEALTH PLAN, INC.",MVP Health Care,"MVP Health Care, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,8.80%,71.70%,74.50%,85.70%,85.90%
S0655,PDP,TUFTS INSURANCE COMPANY,Tufts Health Plan Medicare Preferred,"TAHMO, Inc.",Not enough data available,Not enough data available,47.3,Not enough data available,Not enough data available,0.24,100,Not enough data available,Not enough data available,82%,86%,90%,98,6.90%,84.00%,79.30%,79.70%,73.70%
S1030,PDP,"BCBS ALABAMA, BCBS TENNESSEE",BlueRx,BCBS OF AL & BCBS OF TN,0:18,75%,2.6,40%,95%,0.1,100,12%,Medicare shows only a star rating for this topic,78%,83%,90%,99,10.70%,81.60%,76.50%,76.70%,69.20%
S1140,PDP,"HEALTHNOW NEW YORK, INC.",HealthNow New York Inc.,HealthNow New York Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S1480,PDP,AULTCARE INSURANCE COMPANY,PrimeTime Prescription Drug Plan,Aultman Health Foundation,0:21,84%,Not enough data available,Not enough data available,98%,2.12,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
S1822,PDP,"HEALTHPARTNERS, INC.",HealthPartners National PDP,"HealthPartners, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,6.80%,84.60%,76.10%,82.70%,80.20%
S2321,PDP,QCC INS CO D/B/A AMERIHEALTH INS CO,AmeriHealth Rx,Independence Blue Cross,0:15,94%,0,80%,96%,0.44,100,9%,Medicare shows only a star rating for this topic,75%,81%,90%,97,8.60%,77.90%,75.10%,81.30%,78.00%
S2468,PDP,CA PHYSICIANS' SERVICE DBA BLUE SHIELD OF CA,Blue Shield of California,California Physicians' Service,0:01,88%,2.5,53%,86%,0.31,80,5%,Medicare shows only a star rating for this topic,Not enough data available,89%,91%,99,9.30%,84.10%,76.80%,79.10%,74.40%
S2505,PDP,"WINDSOR HEALTH PLAN, INC",Windsor Rx,Munich American Holding Corporation,0:20,96%,0,46%,93%,0.12,100,10%,Medicare shows only a star rating for this topic,Not enough data available,81%,87%,98,14.90%,81.20%,65.40%,64.40%,60.60%
S2874,PDP,"HUMANA INSURANCE OF PUERTO RICO, INC.","Humana Insurance of Puerto Rico, Inc.",Humana Inc.,0:11,86%,Not enough data available,Not enough data available,88%,Not enough data available,67,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,97,7.10%,91.90%,56.50%,67.50%,42.70%
S2893,PDP,ANTHEM INSURANCE CO. & BCBSMA & BCBSRI & BCBSVT,Blue MedicareRx,Anthem Insurance Co. & BCBSMA & BCBSRI & BCBSVT,0:28,83%,10.7,55%,94%,0.33,80,4%,Medicare shows only a star rating for this topic,77%,81%,89%,98,5.50%,81.40%,80.90%,82.40%,76.60%
S2978,PDP,DESTINY HEALTH INSURANCE COMPANY,Destiny Health Insurance Company,Discovery Holdings Limited,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S3389,PDP,"UPMC HEALTH BENEFITS, INC",UPMC Health Plan,University of Pittsburgh Medical Center,Not enough data available,Not enough data available,0,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Medicare shows only a star rating for this topic,Not enough data available,87%,91%,98,7.80%,81.30%,76.70%,78.50%,79.10%
S3440,PDP,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,Alliance Medicare Rx,Health Alliance Plan (HAP),0:23,88%,0,Not enough data available,Not enough data available,0.27,100,19%,Medicare shows only a star rating for this topic,81%,77%,89%,99,11.60%,79.90%,76.30%,76.20%,73.00%
S3474,PDP,HEARTLAND FIDELITY INSURANCE COMPANY,"Benecard Services, Inc.",Heartland Fidelity Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S3521,PDP,"EXCELLUS HEALTH PLAN, INC","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.",0:11,96%,0,Not enough data available,94%,0.4,100,6%,Medicare shows only a star rating for this topic,81%,89%,93%,98,7.30%,81.80%,82.30%,82.30%,78.90%
