Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,Part D,,,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary  Hold Time - DMC09,Call Center – Information Accuracy- DMC10,Access,,,Call Center,,,Drug Pricing and Patient Safety,,,Plan Finder
H7352,"UNIVERSITY CARE ADVANTAGE, L.L.C","UA Healthcare, Inc.",Local CCP,15%,81%,Not enough data available to calculate measure,Not enough data available to calculate measure,89%,67%,Not enough data available to calculate measure,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,0.00%,Not measured,Not measured,Not measured,7.0%,1.4%,56.20%,100.00%
H7475,"CARE WISCONSIN HEALTH PLAN, INC.","Care Wisconsin First, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,10.4%,5.8%,98.70%,100.00%
H7526,MEDICA HEALTH PLANS,Medica Holding Company,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,7.7%,3.1%,99.20%,100.00%
H7678,"MOLINA HEALTHCARE OF TEXAS, INC.","Molina Healthcare, Inc.,",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,0:16,96%,Not measured,Not measured,Not measured,0.83%,0:16,76.00%,4.6%,3.3%,99.90%,100.00%
H7731,"MD CARE, INC.","MD Care, Inc.",Local CCP,24%,70%,39%,Not enough data available to calculate measure,82%,63%,12%,88%,0:34,90%,100.00%,100.00%,38.24%,0.00%,1:00,85.00%,6.8%,1.1%,99.70%,100.00%
H7787,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","HealthSpring, Inc.",Local CCP,Not enough data available to calculate measure,72%,Not enough data available to calculate measure,Not enough data available to calculate measure,94%,80%,Not enough data available to calculate measure,90%,1:11,96%,100.00%,100.00%,96.61%,0.63%,0:37,79.00%,8.0%,2.2%,89.90%,100.00%
H7908,AETNA HEALTH,Aetna Inc.,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,72%,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,7.4%,2.5%,100.00%,100.00%
H7917,BLUE CROSS BLUE SHIELD OF TENNESSEE,BlueCross BlueShield of Tennessee,Local CCP,55%,74%,50%,78%,93%,80%,Not enough data available to calculate measure,90%,2:00,97%,86.36%,87.50%,98.77%,1.09%,2:00,82.00%,8.4%,2.0%,97.50%,100.00%
H7949,"PACIFICARE OF NEVADA, INC.","UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,Not enough data available to calculate measure,Not enough data available to calculate measure,94%,Not enough data available to calculate measure,39%,88%,0:37,96%,Not measured,Not measured,Not measured,0.00%,0:37,86.00%,5.9%,1.7%,100.00%,100.00%
H8050,"CARILION CLINIC MEDICARE RESOURCES, LLC","Carilion Services, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,0:33,96%,Not measured,Not measured,Not measured,0.83%,0:29,82.00%,10.5%,0.0%,99.70%,100.00%
H8091,USABLE MUTUAL INSURANCE COMPANY,USAble Mutual Insurance Company,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.00%,Not measured,Not measured,1.23%,0:11,94.00%,Not measured,Not measured,100.00%,100.00%
H8098,UNIVERSAL HEALTH CARE INSURANCE COMPANY,"Universal Health Care Group, Inc.",PFFS,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,90.00%,100.00%,79.07%,0.00%,0:33,82.00%,Not measured,Not measured,86.00%,100.00%
H8130,"MOLINA HEALTHCARE OF FLORIDA, INC.","Molina Healthcare, Inc.,",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,0:21,96%,Not measured,Not measured,Not measured,0.83%,0:21,76.00%,5.1%,0.0%,99.10%,100.00%
H8145,HUMANA INSURANCE COMPANY,Humana Inc.,PFFS,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,81.82%,100.00%,94.72%,3.77%,0:49,96.00%,Not measured,Not measured,98.70%,92.31%
H8189,"MANAGED HEALTH SERVICES, WISCONSIN",Centene Corporation,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,0.0%,0.0%,100.00%,100.00%
H8393,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care Inc.,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,0:19,94%,Not measured,100.00%,100.00%,0.00%,0:30,84.00%,9.3%,0.4%,99.00%,100.00%
H8468,GEISINGER INDEMNITY INSURANCE COMPANY,Geisinger Health System,MSA,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,100.00%
H8558,STERLING LIFE INSURANCE COMPANY,Munich American Holding Corporation,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,4:34,88%,Not measured,Not measured,Not measured,1.50%,1:33,72.00%,0.0%,0.0%,97.80%,100.00%
H8578,"HEALTH NEW ENGLAND, INC.","Baystate Health, Inc.",Local CCP,Not enough data available to calculate measure,62%,Not enough data available to calculate measure,Not enough data available to calculate measure,91%,89%,Not enough data available to calculate measure,90%,0:49,91%,Not measured,Not measured,Not measured,0.00%,0:23,80.00%,5.6%,1.8%,97.80%,100.00%
H8604,THP INSURANCE COMPANY,Health Plan of the Upper Ohio Valley,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,0:10,98%,Not measured,Not measured,Not measured,0.81%,0:10,90.00%,10.8%,0.0%,95.40%,100.00%
H8644,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,43%,97%,49%,77%,88%,61%,40%,90%,0:49,96%,Not measured,Not measured,84.21%,3.77%,0:49,96.00%,8.1%,1.7%,99.90%,92.31%
H8649,"ALTIUS HEALTH PLANS, INC. (UTAH)",Coventry Health Care Inc.,Local CCP,Not enough data available to calculate measure,80%,Not enough data available to calculate measure,Not enough data available to calculate measure,85%,69%,Not enough data available to calculate measure,91%,0:22,94%,Not measured,100.00%,95.65%,0.00%,0:33,84.00%,8.5%,1.0%,98.70%,100.00%
H8684,AETNA LIFE INSURANCE COMPANY,Aetna Inc.,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,1.9%,0.6%,99.50%,100.00%
H8707,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,Not enough data available to calculate measure,97%,61%,Not enough data available to calculate measure,90%,78%,Not enough data available to calculate measure,93%,0:47,96%,Not measured,Not measured,97.87%,3.49%,0:47,96.00%,5.7%,1.1%,99.90%,92.31%
H8742,"MOLINA HEALTHCARE OF WISCONSIN, INC.","Molina Healthcare, Inc.,",Local CCP,Not enough data available to calculate measure,98%,Not enough data available to calculate measure,Not enough data available to calculate measure,91%,60%,32%,91%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,7.4%,1.2%,99.10%,100.00%
H8748,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,Not enough data available to calculate measure,Not enough data available to calculate measure,89%,77%,Not enough data available to calculate measure,91%,0:26,95%,Not measured,Not measured,100.00%,1.36%,0:26,86.00%,5.5%,2.9%,99.50%,100.00%
H8822,"ADVANTAGE HEALTH SOLUTIONS, INC.",Advantage Health Solutions,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,0:21,91%,Not measured,Not measured,Not measured,3.25%,0:18,91.00%,3.2%,0.3%,99.80%,100.00%
H8953,"HUMANA HEALTH PLAN OF OHIO, INC.",Humana Inc.,Local CCP,Not enough data available to calculate measure,97%,Not enough data available to calculate measure,Not enough data available to calculate measure,92%,Not enough data available to calculate measure,Not enough data available to calculate measure,90%,0:47,96%,Not measured,Not measured,90.91%,3.49%,0:47,96.00%,5.0%,0.3%,99.80%,92.31%
H8980,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care Inc.,Local CCP,Not enough data available to calculate measure,82%,Not enough data available to calculate measure,Not enough data available to calculate measure,91%,62%,Not enough data available to calculate measure,91%,0:21,94%,Not measured,Not measured,Not measured,0.00%,0:30,84.00%,6.7%,1.2%,99.00%,100.00%
H8991,"AMERIGROUP FLORIDA, INC.",AMERIGROUP Corporation,Local CCP,52%,80%,Not enough data available to calculate measure,Not enough data available to calculate measure,91%,53%,23%,N/A,0:36,95%,Not measured,Not measured,Not measured,2.45%,0:36,84.00%,5.9%,1.3%,99.80%,100.00%
H9001,FALLON COMMUNITY HEALTH PLAN,Fallon Community Health Plan,Local CCP,88%,63%,57%,96%,95%,82%,35%,94%,0:19,93%,100.00%,Not measured,92.00%,0.31%,0:19,75.00%,5.5%,1.3%,95.20%,100.00%
H9003,KAISER FOUNDATION HP OF THE N W,"Kaiser Foundation Health Plan, Inc.",Local CCP,86%,83%,70%,88%,95%,84%,60%,92%,0:08,96%,Not measured,100.00%,99.21%,0.51%,0:08,85.00%,2.0%,0.8%,99.50%,100.00%
H9011,"UNITEDHEALTHCARE OF FLORIDA, INC.","UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,88%,Not enough data available to calculate measure,Not enough data available to calculate measure,92%,80%,41%,90%,0:29,95%,0.00%,Not measured,100.00%,1.10%,0:29,86.00%,7.2%,1.4%,99.20%,100.00%
H9047,PROVIDENCE HEALTH PLAN,Providence Health & Services,Local CCP,87%,87%,53%,85%,97%,76%,32%,91%,0:16,94%,100.00%,100.00%,64.29%,0.00%,0:16,85.00%,5.6%,1.6%,91.00%,100.00%
H9082,"MOLINA HEALTHCARE OF NEW MEXICO, INC.","Molina Healthcare, Inc.,",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,0:30,96%,100.00%,100.00%,Not measured,0.00%,0:30,76.00%,5.5%,3.1%,99.80%,100.00%
H9104,SCAN HEALTH PLAN,SCAN Health Plan,Local CCP,44%,86%,50%,85%,92%,69%,25%,88%,Not enough data available to calculate measure,Not enough data available to calculate measure,66.67%,100.00%,99.52%,Not measured,Not measured,Not measured,8.0%,1.1%,100.00%,100.00%
H9184,"BRAVO HEALTH MID-ATLANTIC, INC.","HealthSpring, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,0:20,96%,Not measured,Not measured,100.00%,0.97%,0:20,78.00%,2.9%,0.0%,99.50%,100.00%
H9302,"SOUNDPATH HEALTH, INC.","Puget Sound Health Partners, Inc.",Local CCP,Not enough data available to calculate measure,80%,53%,Not enough data available to calculate measure,87%,81%,29%,91%,0:14,90%,Not measured,Not measured,53.85%,0.00%,0:14,80.00%,7.1%,0.4%,98.90%,100.00%
H9385,SCAN HEALTH PLAN OF ARIZONA,SCAN Health Plan,Local CCP,39%,79%,Not enough data available to calculate measure,Not enough data available to calculate measure,92%,74%,Not enough data available to calculate measure,88%,0:07,93%,Not measured,100.00%,100.00%,0.61%,0:07,89.00%,7.0%,1.2%,99.90%,100.00%
H9503,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,Not enough data available to calculate measure,97%,Not enough data available to calculate measure,Not enough data available to calculate measure,91%,76%,Not enough data available to calculate measure,N/A,0:51,96%,Not measured,Not measured,92.31%,3.87%,0:51,96.00%,7.2%,1.5%,99.50%,92.31%
H9572,BLUE CROSS BLUE SHIELD OF MICHIGAN,Blue Cross Blue Shield of Michigan,Local CCP,70%,76%,Not enough data available to calculate measure,85%,89%,Not enough data available to calculate measure,Not enough data available to calculate measure,90%,1:33,94%,96.77%,85.00%,99.54%,0.00%,1:33,88.00%,5.8%,1.1%,94.20%,100.00%
H9615,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",Local CCP,Not enough data available to calculate measure,77%,Not enough data available to calculate measure,Not enough data available to calculate measure,92%,87%,Not enough data available to calculate measure,91%,0:16,96%,Not measured,Not measured,100.00%,0.00%,0:16,87.00%,8.9%,1.0%,72.80%,100.00%
H9670,"UPMC HEALTH BENEFITS, INC.",University of Pittsburgh Medical Center,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,0:11,97%,Not measured,Not measured,Not measured,0.41%,0:11,96.00%,0.0%,0.0%,100.00%,100.00%
H9720,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","America's 1st Choice Health Plans, Inc.",PFFS,31%,69%,Not enough data available to calculate measure,Not enough data available to calculate measure,89%,63%,Not enough data available to calculate measure,Not enough data available to calculate measure,0:17,94%,Not measured,Not measured,66.67%,1.82%,0:17,85.00%,7.2%,1.5%,99.40%,100.00%
H9779,STERLING LIFE INSURANCE COMPANY,Munich American Holding Corporation,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,8.3%,4.2%,98.40%,100.00%
H9788,HEALTHNOW NEW YORK INC.,HealthNow New York Inc.,MSA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,100.00%
H9847,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care Inc.,Local CCP,Not enough data available to calculate measure,80%,Not enough data available to calculate measure,Not enough data available to calculate measure,92%,73%,Not enough data available to calculate measure,90%,0:20,94%,100.00%,100.00%,100.00%,0.00%,0:29,84.00%,6.4%,1.4%,98.70%,100.00%
H9859,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",Local CCP,Not enough data available to calculate measure,77%,53%,81%,92%,82%,44%,92%,0:16,96%,100.00%,Not measured,94.74%,0.00%,0:16,87.00%,7.4%,0.5%,74.90%,100.00%
H9988,STERLING LIFE INSURANCE COMPANY,Munich American Holding Corporation,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,4:34,88%,Not measured,Not measured,Not measured,1.23%,1:26,72.00%,0.0%,0.0%,100.00%,100.00%
R3175,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Regional CCP,Not enough data available to calculate measure,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,92%,69%,34%,90%,0:27,95%,Not measured,Not measured,100.00%,1.84%,0:27,86.00%,6.1%,1.8%,99.70%,100.00%
R3332,"BLUE CROSS AND BLUE SHIELD OF FL, INC.",Blue Cross and Blue Shield of Florida,Regional CCP,61%,0 - Plan reported a Biased Rate,Not enough data available to calculate measure,Not enough data available to calculate measure,92%,Not enough data available to calculate measure,22%,89%,1:35,90%,100.00%,Not measured,100.00%,0.81%,1:35,80.00%,5.6%,1.4%,97.80%,100.00%
R3444,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,XLHealth Corporation,Regional CCP,50%,88%,61%,76%,89%,52%,18%,89%,0:18,91%,Not measured,Not measured,97.30%,0.45%,0:40,80.00%,9.0%,1.3%,98.50%,100.00%
R5287,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Regional CCP,51%,88%,51%,79%,92%,78%,34%,89%,0:28,95%,72.73%,80.00%,100.00%,1.31%,0:28,86.00%,6.3%,1.4%,99.10%,100.00%
R5342,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,"UnitedHealth Group, Inc.",Regional CCP,68%,88%,54%,88%,91%,70%,34%,88%,0:28,95%,57.14%,Not measured,100.00%,1.35%,0:28,86.00%,6.7%,1.6%,99.10%,100.00%
R5566,"BCBS MN, MT, NE, ND, WY, WELLMARK IA AND SD","BCBS MN, MT, NE, ND, WY, Wellmark IA and SD",Regional CCP,63%,89%,60%,80%,88%,78%,32%,91%,0:28,99%,Not measured,Not measured,100.00%,0.00%,0:28,95.00%,5.4%,1.8%,98.10%,100.00%
R5674,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealth Group, Inc.",Regional CCP,Not enough data available to calculate measure,69%,40%,Not enough data available to calculate measure,86%,75%,34%,87%,1:13,95%,100.00%,Not measured,Not measured,1.74%,1:13,86.00%,6.7%,0.9%,84.60%,100.00%
R5826,HUMANA INSURANCE COMPANY,Humana Inc.,Regional CCP,52%,97%,57%,86%,90%,71%,35%,91%,0:49,96%,88.00%,100.00%,93.73%,3.77%,0:49,96.00%,7.2%,1.2%,98.50%,92.31%
R5941,"ANTHEM INSURANCE COMPANIES, INC.","WellPoint, Inc.",Regional CCP,72%,86%,52%,67%,87%,74%,34%,91%,0:13,86%,100.00%,75.00%,100.00%,0.58%,0:13,68.00%,7.2%,1.1%,99.60%,100.00%
R6801,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,XLHealth Corporation,Regional CCP,54%,88%,50%,71%,93%,62%,27%,89%,0:18,91%,Not measured,100.00%,91.49%,0.45%,0:40,80.00%,8.6%,1.2%,98.70%,100.00%
R7439,HAWAII MEDICAL SERVICE ASSOCIATION,Hawaii Medical Service Association,Regional CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not measured,100.00%,83.33%,0.70%,0:40,75.00%,Not measured,Not measured,99.30%,69.23%
R7444,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Regional CCP,69%,88%,55%,81%,89%,74%,Not enough data available to calculate measure,92%,0:26,95%,66.67%,100.00%,100.00%,1.36%,0:26,86.00%,5.5%,0.9%,98.20%,100.00%
R9896,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO,XLHealth Corporation,Regional CCP,39%,88%,46%,78%,93%,51%,29%,90%,0:20,91%,Not measured,100.00%,85.29%,0.41%,0:39,80.00%,8.9%,0.9%,99.00%,100.00%
R9943,ANTHEM BLUE CROSS LIFE AND HEALTH INSURANCE CO.,"WellPoint, Inc.",Regional CCP,52%,83%,54%,72%,86%,75%,33%,89%,0:37,86%,80.00%,100.00%,99.68%,0.52%,0:37,68.00%,6.9%,1.3%,99.90%,100.00%
S0043,"PREFERRED MEDICARE CHOICE, INC.","Aveta, LLC.",PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not measured,Not measured,Not measured,0.00%,0:29,70.00%,5.6%,1.4%,Not measured,100.00%
S0197,CAMBRIDGE LIFE INSURANCE COMPANY,Coventry Health Care Inc.,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not measured,Not measured,Not measured,0.00%,0:29,91.00%,8.0%,1.7%,99.10%,100.00%
S0586,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,85.70%,100.00%
S0655,TUFTS INSURANCE COMPANY,"TAHMO, Inc.",PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not measured,100.00%,100.00%,1.22%,0:34,89.00%,6.8%,2.9%,98.40%,100.00%
S1030,BCBS OF ALABAMA AND BCBS OF TENNESSEE,BCBS OF AL & BCBS OF TN,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,80.00%,100.00%,96.43%,19.91%,0:14,76.00%,10.7%,2.0%,96.50%,100.00%
S1131,SUMMA INSURANCE COMPANY,Summa Health System,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.00%,100.00%,86.27%,0.00%,0:24,85.00%,Not measured,Not measured,72.60%,100.00%
S1822,"HEALTHPARTNERS, INC.","HealthPartners, Inc.",PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,11.6%,2.0%,100.00%,100.00%
S2321,QCC INS CO D/B/A AMERIHEALTH INS CO,Independence Blue Cross,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100.00%,100.00%,100.00%,0.00%,0:35,90.00%,9.6%,0.8%,98.70%,92.31%
S2468,CA PHYSICIANS' SERVICE DBA BLUE SHIELD OF CA,California Physicians' Service,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,75.00%,85.71%,98.21%,0.51%,0:45,77.00%,8.0%,1.9%,95.70%,100.00%
S2505,"WINDSOR HEALTH PLAN, INC",Munich American Holding Corporation,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not measured,Not measured,99.98%,0.00%,0:53,85.00%,9.3%,0.6%,83.70%,100.00%
S2770,QCC INS CO D/B/A AMERIHEALTH INS CO,Independence Blue Cross,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,76.92%,77.78%,100.00%,0.00%,0:10,90.00%,8.7%,1.3%,97.50%,92.31%
S2874,"HUMANA INSURANCE OF PUERTO RICO, INC.",Humana Inc.,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not measured,Not measured,Not measured,4.94%,1:26,97.00%,1.4%,0.0%,Not measured,92.31%
S2893,ANTHEM INSURANCE CO. & BCBSMA & BCBSRI & BCBSVT,Anthem Insurance Co. & BCBSMA & BCBSRI & BCBSVT,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,97.87%,94.74%,100.00%,1.22%,0:41,87.00%,7.1%,1.4%,100.00%,100.00%
S3389,"UPMC HEALTH BENEFITS, INC",University of Pittsburgh Medical Center,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not measured,Not measured,Not measured,0.41%,0:11,96.00%,9.3%,2.1%,99.20%,100.00%
S3440,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,Health Alliance Plan (HAP),PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100.00%,Not measured,Not measured,0.83%,0:36,91.00%,10.3%,2.7%,99.00%,100.00%
S3521,"EXCELLUS HEALTH PLAN, INC","Lifetime Healthcare, Inc.",PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100.00%,100.00%,100.00%,0.00%,0:55,95.00%,9.2%,2.0%,99.70%,100.00%
