CY2010 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,
  * See next worksheet for technical notes.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Part D,,,,,,,,,,Part C,,,,,,,,,,,,,,
,,,Access,,,Call Center,,,Complaints,Patient Safety,,Plan Finder,Call Center,,1/1/2008 - 12/31/2008,1/1/2008 - 12/31/2008,1/1/2008 - 12/31/2008,,,,,,,,,,
H5434,"Blue Cross and Blue Shield of Florida, Inc.","BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",100.00%,Not measured,56.35%,1.72%,1.69%,91.94%,,1.52%,1.50%,100.00%,Plan reported a Biased Rate,85.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5435,SecureHorizons MedicareDirect,UNITEDHEALTHCARE INSURANCE COMPANY,73.33%,80.00%,84.61%,2.17%,1.34%,93.83%,,0.69%,1.18%,100.00%,70.16%,92.00%,44.63%,51.85%,44.00%,,,,,,,,,,
H5439,Health Net Life Insurance Company,HEALTH NET LIFE INSURANCE COMPANY,Not measured,Not measured,44.44%,2.17%,2.25%,94.94%,,0.00%,1.63%,100.00%,Plan too small to be measured,88.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5440,Evercare® Health Plans,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,89.33%,0.00%,1.88%,94.94%,,0.00%,1.24%,100.00%,Plan too small to be measured,87.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5444,"Rms Dm, Llc","RMS DM, LLC DEMO PROJECT",,,,,,,,,,,Plan not required to report measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H5445,"Health Hero Network, Inc","HEALTH HERO NETWORK, INC DEMO PROJECT",,,,,,,,,,,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5470,Humana Insurance Company,HUMANA INSURANCE COMPANY,Not measured,Not measured,Not measured,2.56%,0.79%,96.67%,,Not measured,Not measured,100.00%,Plan too small to be measured,89.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5507,AARP MedicareComplete from SecureHorizons,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,100.00%,78.34%,3.77%,1.87%,96.30%,,0.00%,1.85%,100.00%,70.16%,88.00%,Not enough data available to calculate measure,54.05%,94.44%,,,,,,,,,,
H5508,"Advantage Health Solutions, Inc.","ADVANTAGE HEALTH SOLUTIONS, INC.",Not measured,Not measured,83.64%,18.71%,2.09%,91.18%,,0.74%,0.44%,100.00%,71.63%,92.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5509,Coventry Health And Life Ins. Company,COVENTRY HEALTH AND LIFE INS. COMPANY,66.67%,100.00%,24.67%,0.71%,2.21%,95.71%,,0.98%,1.60%,100.00%,70.00%,85.00%,72.97%,57.53%,83.82%,,,,,,,,,,
H5516,AARP MedicareComplete from SecureHorizons,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,86.84%,3.96%,1.88%,97.30%,,0.00%,1.66%,100.00%,70.16%,88.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5520,Health Net Medicare Advantage,HEALTH NET LIFE INSURANCE COMPANY,100.00%,Not measured,66.87%,0.72%,2.25%,94.67%,,0.71%,1.79%,100.00%,83.89%,91.00%,62.50%,48.91%,81.13%,,,,,,,,,,
H5521,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,100.00%,Not measured,76.43%,0.00%,0.00%,96.92%,,1.82%,1.25%,100.00%,78.06%,85.00%,90.00%,62.96%,Not enough data available to calculate measure,,,,,,,,,,
H5522,HealthAmerica Advantra,"HEALTHASSURANCE PENNSYLVANIA, INC.",100.00%,100.00%,48.33%,0.76%,0.00%,96.43%,,0.81%,2.09%,100.00%,73.70%,89.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5525,"Humana Benefit Plan of Illinois, Inc.","HUMANA BENEFIT PLAN OF ILLINOIS, INC.",100.00%,94.12%,81.33%,2.51%,0.80%,89.83%,,0.70%,2.12%,100.00%,63.54%,88.00%,42.86%,53.39%,78.57%,,,,,,,,,,
H5526,Forever Blue Medicare PPO,HEALTHNOW NEW YORK INC.,42.86%,100.00%,87.90%,0.78%,2.17%,94.24%,,0.00%,1.02%,100.00%,68.30%,89.00%,Not enough data available to calculate measure,56.00%,84.00%,,,,,,,,,,
H5528,GHI Medicare PPO,GROUP HEALTH INCORPORATED,100.00%,100.00%,55.48%,4.00%,3.59%,96.34%,,0.77%,1.45%,100.00%,83.60%,94.00%,55.93%,29.73%,66.67%,,,,,,,,,,
H5529,Anthem Blue Cross and Blue Shield,COMMUNITY INSURANCE COMPANY,100.00%,100.00%,Not measured,0.00%,5.71%,Not measured,,1.86%,0.75%,100.00%,75.04%,Not enough data available to calculate measure,75.00%,32.65%,Not enough data available to calculate measure,,,,,,,,,,
H5530,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",100.00%,Not measured,Not measured,0.00%,5.71%,Not measured,,2.14%,2.03%,100.00%,75.04%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5532,AARP MedicareComplete from SecureHorizons,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,95.65%,3.96%,1.88%,97.30%,,0.00%,2.66%,100.00%,70.16%,88.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5533,UPMC Health Plan,UPMC HEALTH NETWORK,Not measured,Not measured,84.21%,0.77%,0.00%,93.33%,,0.65%,1.28%,100.00%,84.47%,93.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5549,VNS CHOICE Medicare,VNS CHOICE,Not measured,Not measured,96.46%,1.44%,0.00%,91.88%,,0.53%,0.66%,100.00%,95.11%,87.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5554,Santa Clara Family Health Plan,SANTA CLARA COUNTY HEALTH AUTHORITY,Not measured,100.00%,94.29%,0.00%,1.65%,0.00%,,0.00%,2.20%,95.00%,49.05%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5575,Fidelis SecureCare of North Carolina,FIDELIS SECURECARE OF NORTH CAROLINA,Not measured,Not measured,96.55%,6.48%,0.00%,90.91%,,1.25%,5.42%,100.00%,Plan too small to be measured,82.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5576,"Vantage Health Plan, Inc.","VANTAGE  HEALTH PLAN, INC.",Not measured,Not measured,86.32%,0.00%,0.00%,100.00%,,1.42%,1.78%,100.00%,90.14%,92.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5577,MCS Classicare,MCS ADVANTAGE INC.,0.00%,0.00%,63.05%,34.56%,0.45%,74.19%,,0.23%,0.99%,100.00%,82.16%,68.00%,63.21%,36.27%,66.08%,,,,,,,,,,
H5578,Southeast Community Care,"ARCADIAN HEALTH PLAN OF GEORGIA, INC.",Not measured,Not measured,85.65%,1.04%,0.00%,95.56%,,0.58%,2.15%,100.00%,97.53%,82.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5580,Mercy Care Advantage,SOUTHWEST CATHOLIC HEALTH NETWORK CORPORATION,66.67%,100.00%,37.00%,0.00%,0.00%,98.68%,,0.85%,0.72%,100.00%,73.67%,93.00%,31.41%,47.46%,89.74%,,,,,,,,,,
H5587,Health Choice Generations,"HEALTH CHOICE ARIZONA, INC.",Not measured,Not measured,78.17%,2.21%,0.00%,94.00%,,0.47%,0.64%,100.00%,82.83%,81.00%,68.93%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5590,Advantage by Bridgeway Health Solutions,BRIDGEWAY HEALTH SOLUTIONS,Not measured,Not measured,80.00%,0.77%,0.00%,96.25%,,0.00%,0.00%,84.00%,Plan too small to be measured,88.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5591,Martin's Point Generations Advantage,"MARTIN'S POINT GENERATIONS, LLC",Not measured,Not measured,76.00%,0.75%,0.80%,98.65%,,0.00%,1.15%,100.00%,79.75%,93.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5594,"Optimum HealthCare, Inc.","OPTIMUM HEALTHCARE, INC.",Not measured,Not measured,69.33%,1.60%,0.00%,91.38%,,0.00%,1.60%,100.00%,87.25%,87.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5606,"Fresenius Medical Health Plan, Inc. - Pennsylvania",STERLING LIFE INSURANCE COMPANY,,,,,,,,,,,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5608,Denver Health Medical Plan,"DENVER HEALTH MEDICAL PLAN, INC.",Not measured,Not measured,84.78%,0.71%,0.00%,90.00%,,0.00%,0.94%,100.00%,Plan reported a Biased Rate,71.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5609,GEMCARE Health Plan,GEMCARE HEALTH PLAN INC.,0.00%,Not measured,96.39%,0.00%,0.00%,100.00%,,0.50%,3.72%,100.00%,Plan reported a Biased Rate,89.00%,Not enough data available to calculate measure,53.85%,78.72%,,,,,,,,,,
H5619,Northeast Community Care,"ARCADIAN HEALTH PLAN, INC.",Not measured,Not measured,91.55%,1.04%,0.00%,93.48%,,0.00%,1.94%,100.00%,97.53%,88.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5628,Molina Healthcare of Utah,"MOLINA HEALTHCARE OF UTAH, INC.",Not measured,Not measured,37.21%,1.77%,1.75%,96.55%,,1.00%,1.18%,100.00%,50.32%,84.00%,71.70%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5640,IEHP Medicare DualChoice,IEHP HEALTH ACCESS,Not measured,Not measured,95.87%,4.51%,0.00%,95.83%,,0.00%,2.42%,100.00%,77.50%,88.00%,35.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5649,Central Health Medicare Plan,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC.",Not measured,Not measured,90.11%,0.00%,0.00%,94.62%,,0.00%,2.84%,100.00%,70.86%,90.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5656,Universal American,"SELECTCARE HEALTH PLANS, INC.",Not measured,Not measured,49.95%,0.77%,1.07%,91.94%,,1.80%,1.23%,100.00%,Plan reported a Biased Rate,84.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5665,Care Improvement Plus,"CARE IMPROVEMENT PLUS  OF MARYLAND, INC.",Not measured,Not measured,81.82%,1.65%,2.04%,97.47%,,0.23%,2.16%,100.00%,85.75%,89.00%,27.27%,Not enough data available to calculate measure,76.19%,,,,,,,,,,
H5679,Anthem Blue Cross and Blue Shield,"HMO COLORADO, INC.",Not measured,Not measured,Not measured,5.04%,5.73%,Not measured,,0.00%,0.00%,100.00%,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5685,Midwest Advantage,"MIDWEST HEALTH PLAN, INC.",Not measured,Not measured,89.13%,1.54%,1.38%,78.26%,,0.00%,2.87%,95.00%,Plan too small to be measured,83.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5696,PUP,"PHYSICIANS UNITED PLAN, INC.",0.00%,0.00%,Not measured,2.16%,0.00%,95.00%,,0.39%,1.55%,100.00%,Plan elected not to report data,84.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5698,Windsor Medicare Extra,"WINDSOR HEALTH PLANS, INC.",Not measured,100.00%,91.37%,0.00%,4.17%,75.00%,,1.39%,1.68%,100.00%,Plan reported a Biased Rate,100.00%,41.48%,Not enough data available to calculate measure,62.32%,,,,,,,,,,
H5700,"Arkansas Community Care, Inc.","ARKANSAS COMMUNITY CARE, INC.",Not measured,Not measured,83.52%,0.96%,0.00%,91.30%,,0.99%,2.10%,100.00%,97.53%,79.00%,51.61%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5703,South Country Health Alliance,SOUTH COUNTRY HEALTH ALLIANCE,Not measured,Not measured,Not measured,0.74%,0.00%,98.41%,,3.09%,2.31%,100.00%,Plan too small to be measured,86.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5732,"Triple-S Salud, INC.","TRIPLE-S SALUD, INC.",Not measured,Not measured,Not measured,5.84%,3.17%,86.36%,,2.09%,0.00%,95.00%,75.91%,74.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5736,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,93.75%,95.24%,79.26%,0.00%,0.00%,94.37%,,0.60%,1.75%,100.00%,Plan not required to report measure,83.00%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H5746,AMERIGROUP Community Care of New Mexico,"AMERIGROUP NEW MEXICO, INC.",Not measured,Not measured,96.44%,0.83%,0.00%,91.67%,,0.00%,1.94%,100.00%,Plan too small to be measured,82.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5749,AARP MedicareComplete from SecureHorizons,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,86.98%,3.77%,1.87%,96.30%,,0.00%,6.33%,100.00%,Plan too small to be measured,88.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5750,North Star Advantage / North Star Advantage Plus,METROPOLITAN HEALTH PLAN,Not measured,Not measured,Not measured,0.72%,0.00%,99.37%,,0.00%,0.00%,100.00%,Plan too small to be measured,91.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5774,American Health Medicare,"AMERICAN HEALTH, INC.",100.00%,100.00%,95.54%,1.43%,4.55%,86.11%,,0.21%,1.25%,100.00%,58.49%,84.00%,61.42%,36.71%,65.06%,,,,,,,,,,
H5782,Partnership HealthPlan of California,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,100.00%,Not measured,68.47%,1.46%,0.83%,97.10%,,0.36%,1.10%,100.00%,92.18%,91.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5783,Southeast Community Care,"ARCADIAN HEALTH PLAN, INC.",Not measured,Not measured,78.98%,1.04%,0.00%,90.57%,,1.09%,0.69%,100.00%,97.53%,84.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5793,Aetna Medicare,AETNA HEALTH INC.,Not measured,Not measured,68.58%,0.00%,0.00%,96.92%,,0.00%,2.13%,100.00%,Plan too small to be measured,85.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5810,Molina Healthcare of California,MOLINA HEALTHCARE OF CALIFORNIA,Not measured,Not measured,50.12%,3.60%,1.80%,96.43%,,0.00%,0.27%,100.00%,44.35%,85.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5811,Medcore HP,MEDCORE HP,Not measured,Not measured,83.19%,0.00%,0.00%,97.96%,,0.77%,0.76%,100.00%,95.58%,89.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5812,Geisinger Gold,GEISINGER INDEMNITY INSURANCE COMPANY,Not measured,Not measured,44.55%,0.00%,0.00%,92.41%,,1.52%,1.06%,100.00%,Plan not required to report measure,85.00%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H5813,Aetna Medicare,"AETNA HEALTH, INC",Not measured,Not measured,74.07%,0.00%,0.00%,96.92%,,0.00%,0.32%,100.00%,Plan too small to be measured,85.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5817,AMERIGROUP Community Care,"AMERIGROUP TEXAS, INC.",Not measured,Not measured,90.10%,0.85%,0.00%,91.01%,,0.00%,2.63%,100.00%,75.92%,84.00%,50.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5820,"UNIVERSAL HEALTH CARE INSURANCE COMPANY, INC.",UNIVERSAL HEALTH CARE INSURANCE COMPANY,50.00%,Not measured,15.78%,0.94%,3.05%,93.88%,,0.57%,2.07%,95.00%,Plan not required to report measure,86.00%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H5821,MAPFRE LIFE INSURANCE COMPANY,MAPFRE LIFE INSURANCE COMPANY,Not measured,Not measured,86.37%,0.83%,4.55%,76.47%,,0.22%,1.77%,100.00%,88.98%,80.00%,63.83%,34.11%,62.22%,,,,,,,,,,
H5823,"Molina Healthcare of Washington, Inc.","MOLINA HEALTHCARE OF WASHINGTON, INC.",Not measured,Not measured,69.84%,1.54%,1.80%,96.43%,,0.00%,1.27%,100.00%,Plan too small to be measured,85.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5826,Community HealthFirst Medicare Advantage Plan,COMMUNITY HEALTH PLAN OF WASHINGTON,50.00%,Not measured,94.96%,0.00%,0.00%,95.38%,,0.76%,1.85%,100.00%,78.00%,95.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5832,Aetna Medicare,AETNA HEALTH INC.,Not measured,Not measured,92.31%,0.00%,0.00%,97.14%,,9.38%,0.00%,100.00%,Plan too small to be measured,84.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5839,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY (MT),Not measured,Not measured,100.00%,0.00%,0.00%,82.14%,,0.00%,0.00%,95.00%,Plan too small to be measured,62.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5850,"Summit Health Plan, Inc.","SUMMIT HEALTH PLAN, INC.",100.00%,Not measured,67.17%,2.33%,0.00%,90.35%,,0.38%,0.97%,100.00%,82.22%,83.00%,27.91%,26.47%,79.37%,,,,,,,,,,
H5852,POSITIVE HEALTHCARE PARTNERS,AIDS HEALTHCARE FOUNDATION,Not measured,Not measured,Not measured,0.00%,0.00%,85.33%,,4.67%,1.55%,100.00%,Plan too small to be measured,80.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5854,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS, INC",Not measured,Not measured,Not measured,0.00%,0.00%,Not measured,,0.00%,0.97%,100.00%,81.15%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5859,CareOregon Advantage,"HEALTH PLAN OF CAREOREGON, INC.",0.00%,100.00%,98.11%,2.17%,0.67%,96.08%,,0.96%,2.46%,100.00%,83.03%,91.00%,75.34%,54.24%,87.50%,,,,,,,,,,
H5862,Blue Cross of Idaho,"BLUE CROSS OF IDAHO HEALTH SERVICES, INC.",Not measured,Not measured,90.09%,1.63%,0.00%,97.89%,,0.00%,6.16%,100.00%,Plan too small to be measured,85.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5868,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,Not measured,73.98%,1.01%,0.80%,89.83%,,0.00%,4.57%,100.00%,Plan too small to be measured,78.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5883,Blue Care Network,BLUE CARE NETWORK OF MICHIGAN,75.00%,100.00%,84.74%,0.00%,1.65%,97.14%,,0.29%,1.91%,100.00%,43.34%,94.00%,71.21%,59.04%,91.30%,,,,,,,,,,
H5884,BlueCross BlueShield of Tennessee,BLUECROSS BLUESHIELD OF TENNESSEE,0.00%,Not measured,88.67%,0.81%,0.00%,97.59%,,0.92%,1.87%,100.00%,83.00%,90.00%,47.17%,48.15%,83.93%,,,,,,,,,,
H5887,"First Medical Health Plan, Inc.","FIRST MEDICAL HEALTH PLAN, INC.",Not measured,Not measured,94.48%,8.73%,4.55%,78.79%,,0.00%,1.84%,100.00%,80.10%,78.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5895,Contra Costa Health Plan,CONTRA COSTA CO MED SVCS DBA CONTRA COSTA HEALTH,Not measured,Not measured,50.00%,2.16%,1.48%,77.19%,,0.00%,6.03%,100.00%,Plan too small to be measured,85.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5896,AMERIGROUP Community Care,"AMERIGROUP MARYLAND, INC.",Not measured,Not measured,73.39%,0.88%,0.00%,92.31%,,0.00%,1.56%,100.00%,Plan too small to be measured,85.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5909,Universal American,AMERICAN PROGRESSIVE LIFE AND HEALTH OF NEW YORK,,,,,,,,,,,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5926,Molina Healthcare of Michigan,MOLINA HEALTHCARE OF MICHIGAN,Not measured,Not measured,67.48%,2.29%,1.62%,96.83%,,0.00%,0.61%,100.00%,49.89%,87.00%,21.74%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5928,Care1st Medicare Advantage Plan,CARE1ST HEALTH PLAN,Not measured,Not measured,89.35%,0.72%,0.00%,97.92%,,0.00%,1.17%,95.00%,85.00%,86.00%,Not enough data available to calculate measure,30.43%,Not enough data available to calculate measure,,,,,,,,,,
H5932,Gateway Health Plan Medicare Assured,"GATEWAY HEALTH PLAN, INC.",80.00%,Not measured,98.70%,0.00%,0.00%,96.55%,,1.16%,1.06%,100.00%,77.98%,85.00%,39.59%,40.83%,84.16%,,,,,,,,,,
H5938,Capital Health Plan,CAPITAL HEALTH PLAN,100.00%,100.00%,40.82%,0.00%,0.80%,100.00%,,0.37%,1.29%,100.00%,84.79%,89.00%,Not enough data available to calculate measure,48.00%,Not enough data available to calculate measure,,,,,,,,,,
H5948,Arta Medicare Health Plan,"ARTA MEDICARE HEALTH PLAN, INC.",Not measured,Not measured,51.72%,0.00%,0.57%,91.67%,,0.00%,2.89%,100.00%,Plan too small to be measured,85.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5950,Aetna Medicare,AETNA HEALTH INC.,Not measured,Not measured,82.22%,0.00%,0.00%,97.14%,,0.00%,0.00%,100.00%,Plan too small to be measured,84.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5962,"Fresenius Medical Care Health Plan, Inc. - Texas",STERLING LIFE INSURANCE COMPANY,,,,,,,,,,,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5969,AlohaCare,ALOHACARE,Not measured,Not measured,98.58%,0.00%,2.01%,96.51%,,0.00%,0.31%,100.00%,95.11%,84.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5970,Humana Insurance Company of New York,HUMANA INSURANCE COMPANY OF NEW YORK,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,,Not measured,Not measured,Not measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H5980,"Fidelis SecureCare of Texas, Inc.","FIDELIS SECURECARE OF TEXAS, INC.",Not measured,Not measured,Not measured,5.79%,0.00%,91.67%,,0.00%,1.45%,100.00%,Plan too small to be measured,81.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5985,Abrazo Advantage Health Plan,ABRAZO ADVANTAGE HEALTH PLAN,Not measured,Not measured,50.72%,3.91%,0.00%,94.37%,,0.48%,1.57%,100.00%,90.05%,86.00%,14.29%,40.63%,Not enough data available to calculate measure,,,,,,,,,,
H5989,Comprehensive Care Management Corp.,COMPREHENSIVE CARE MANAGEMENT CORP.,Not measured,Not measured,Not measured,0.79%,0.00%,90.48%,,0.00%,0.00%,95.00%,Plan too small to be measured,88.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5991,Affinity Health Plan,"AFFINITY HEALTH PLAN, INC.",Not measured,Not measured,91.49%,0.00%,0.00%,95.00%,,0.00%,0.77%,100.00%,Plan reported a Biased Rate,86.00%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H5992,Senior Whole Health of New York,"SENIOR WHOLE HEALTH, LLC",100.00%,Not measured,13.85%,3.15%,0.67%,93.70%,,0.00%,1.77%,100.00%,Plan too small to be measured,80.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5995,"Marion Polk Community Health Plan Advantage, Inc.","MARION POLK COMMUNITY HEALTH PLAN ADVANTAGE, INC.",Not measured,Not measured,79.84%,0.00%,0.00%,95.35%,,0.33%,2.53%,100.00%,79.76%,87.00%,40.48%,61.29%,Not enough data available to calculate measure,,,,,,,,,,
H5998,Unison Advantage,"UNISON HEALTH PLAN OF TENNESSEE, INC.",Not measured,Not measured,60.78%,1.53%,1.79%,80.70%,,4.32%,1.24%,100.00%,73.10%,89.00%,24.53%,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H6050,Kaiser Permanente Medicare Cost,"KAISER FOUNDATION HP, INC.",,,,,,,,,,,Plan not required to report measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H6052,Kaiser Permanente Medicare Cost,"KAISER FOUNDATION HP, INC.",,,,,,,,,,,Plan not required to report measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H6053,Santa Fe Employes Hospital Assn. - Coast Lines,SANTE FE EMPLOYEES HOSPITAL ASSN.,,,,,,,,,,,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H6120,PHYSICIANS HEALTH CHOICE,PHYSICIANS HEALTH CHOICE OF FLORIDA,Not measured,Not measured,Not measured,0.00%,0.73%,98.48%,,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H6140,Wabash Mem. Hospital,WABASH MEM. HOSPITAL,,,,,,,,,,,Plan not required to report measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
