2012 Measure Data: Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,
,,,,,Drug Plan Customer Service,,,,,"Member Complaints, Problems Getting Care, and Choosing to Leave the Plan",,,Member Experience with Drug Plan,,,Drug pricing and patient safety,,,,,
H4123,Local CCP,MERCYCARE HMO INC,MercyCare Health Plans,Mercy Health Alliance,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4125,Local CCP,ARCADIAN HEALTH PLAN,Arcadian Health Plan,Arcadian Management Services Inc.,No data available,No data available,0.0,No appeals required review,94.27,0.00,0,15%,78%,83%,92%,98.6,25.8%,86.7%,73.6%,70.4%,68.0%
H4141,Local CCP,"HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC.","Humana Employers Health Plan of Georgia, Inc.",Humana Inc.,0:34,84.1,0.0,No appeals required review,69.45,1.25,100,19%,65%,86%,91%,96.3,17.5%,87.7%,70.6%,72.0%,68.3%
H4152,Local CCP,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND,Blue Cross & Blue Shield of Rhode Island,Blue Cross & Blue Shield of Rhode Island,0:34,16.5,5.7,66.7%,93.92,0.19,60,7%,86%,80%,92%,97.2,14.7%,82.0%,76.1%,76.0%,68.7%
H4155,Local CCP,PUBLIC HEALTH TRUST OF MIAMI-DADE COUNTY,JMH Health Plan,Public Health Trust of Miami-Dade County,3:31,18.8,0.0,No appeals required review,95.81,0.95,80,24%,77%,86%,89%,99.2,13.2%,89.3%,70.5%,66.9%,55.3%
H4199,Local CCP,"FLORIDA HEALTHCARE PLUS, INC.",FLORIDA HEALTHCARE PLUS,"Florida Healthcare Plus, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4209,Local CCP,BLUE CROSS AND BLUE SHIELD OF SOUTH CAROLINA,Blue Cross Blue Shield of South Carolina,BlueCross BlueShield of South Carolina (BCBSSC),0:34,60.0,8.3,44.4%,85.52,0.82,80,15%,86%,80%,90%,97.0,22.1%,85.1%,64.0%,66.6%,60.9%
H4211,Local CCP,"AMERIGROUP GEORGIA MANAGED CARE COMPANY, INC.",Amerigroup Community Care,AMERIGROUP Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4213,PFFS,USABLE MUTUAL INSURANCE COMPANY,ARKANSAS BLUE CROSS AND BLUE SHIELD,USAble Mutual Insurance Company,0:35,90.2,0.0,Not enough data available to calculate measure,97.30,0.40,100,13%,82%,81%,93%,98.4,24.6%,82.1%,70.8%,68.8%,65.2%
H4268,PFFS,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.",America's 1st Choice Insurance Company of NC,"America¿s 1st Choice Insurance Company of NC, Inc.",0:13,91.7,No data available,No appeals required review,87.55,0.38,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H4270,Local CCP,"UCARE WISCONSIN, INC.",UCare,UCare Minnesota,0:33,94.0,2.4,No appeals required review,93.53,0.15,80,10%,87%,83%,93%,98.0,11.7%,81.7%,82.2%,83.9%,80.1%
H4279,Local CCP,"UPMC FOR YOU, INC",UPMC for You Advantage,University of Pittsburgh Medical Center,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4346,Local CCP,CAREMORE HEALTH PLAN OF NEVADA,CareMore Health Plan of Nevada,"WellPoint, Inc.",0:20,49.3,0.0,No appeals required review,92.72,0.76,80,14%,85%,86%,91%,97.9,19.1%,85.9%,70.0%,68.1%,64.2%
H4406,Local CCP,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:02,77.4,0.0,No appeals required review,96.54,0.98,40,17%,78%,83%,90%,98.4,24.2%,84.7%,64.3%,65.0%,61.6%
H4407,Local CCP,"HEALTHSPRING OF TENNESSEE, INC.",HealthSpring,"HealthSpring, Inc.",0:24,81.3,2.1,No appeals required review,87.42,0.64,64,11%,86%,84%,93%,Not enough data available to calculate measure,27.4%,85.9%,67.3%,62.2%,59.3%
H4408,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:31,84.1,0.0,No appeals required review,84.10,0.84,100,20%,81%,84%,92%,96.6,26.3%,84.5%,72.4%,71.6%,68.6%
H4454,Local CCP,"HEALTHSPRING OF TENNESSEE, INC.",HealthSpring,"HealthSpring, Inc.",0:24,75.2,2.7,Not enough data available to calculate measure,96.14,0.31,44,6%,84%,85%,93%,Not enough data available to calculate measure,25.0%,84.9%,72.5%,71.5%,65.7%
H4456,Local CCP,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:02,77.4,0.4,Not enough data available to calculate measure,95.81,0.43,40,10%,85%,85%,93%,98.1,23.4%,83.4%,73.7%,72.8%,68.3%
H4461,Local CCP,"CARITEN HEALTH PLAN, INC.","Cariten Health Plan, Inc.",Humana Inc.,0:34,84.1,0.8,Not enough data available to calculate measure,75.33,0.40,80,5%,84%,85%,92%,96.4,29.6%,82.0%,74.1%,73.4%,68.5%
H4506,Local CCP,"SELECTCARE OF TEXAS, L.L.C.",Universal American Corp.,Universal American Corp.,No data available,No data available,1.1,Not enough data available to calculate measure,95.29,0.27,0,11%,77%,89%,92%,98.0,29.5%,86.7%,71.0%,69.1%,64.9%
H4510,Local CCP,"HUMANA HEALTH PLAN OF TEXAS, INC.","HUMANA HEALTH PLAN OF TEXAS, INC.",Humana Inc.,0:31,84.5,0.3,Not enough data available to calculate measure,69.33,0.36,100,13%,82%,87%,91%,96.4,28.3%,87.2%,66.2%,68.2%,62.5%
H4513,Local CCP,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",HealthSpring,"HealthSpring, Inc.",0:24,67.8,2.5,Not enough data available to calculate measure,95.44,0.31,24,12%,87%,90%,93%,Not enough data available to calculate measure,25.4%,86.7%,66.9%,66.7%,60.7%
H4514,Local CCP,"EVERCARE OF TEXAS, LLC",UnitedHealthcare,"UnitedHealth Group, Inc.",1:02,77.4,0.6,Not enough data available to calculate measure,95.25,0.70,40,13%,83%,84%,91%,98.1,28.0%,86.5%,62.1%,60.3%,57.0%
H4520,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:31,84.1,1.1,Not enough data available to calculate measure,82.62,0.84,100,26%,79%,84%,92%,96.3,25.9%,83.1%,70.6%,69.3%,65.4%
H4522,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:00,77.5,0.0,No appeals required review,95.66,0.18,40,11%,81%,85%,91%,98.3,23.9%,89.6%,65.8%,66.9%,60.7%
H4523,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Inc.,No data available,No data available,18.8,No appeals required review,Not enough data available to calculate measure,0.22,0,16%,82%,82%,90%,98.5,13.1%,87.7%,63.0%,65.1%,61.0%
H4524,Local CCP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,No data available,No data available,39.1,33.3%,Not enough data available to calculate measure,0.42,0,18%,81%,79%,88%,98.3,14.5%,86.7%,69.0%,70.8%,67.3%
H4525,Local CCP,"SHA, L.L.C",FirstCare Advantage,Covenant Health System - Hendrick Health System,0:33,84.8,0.0,No appeals required review,66.02,0.17,100,5%,80%,88%,91%,97.9,34.3%,85.6%,66.6%,69.3%,62.5%
H4527,Local CCP,PHYSICIANS HEALTH CHOICE OF TEXAS LLC,PHYSICIANS HEALTH CHOICE,"UnitedHealth Group, Inc.",0:21,86.0,0.0,Not enough data available to calculate measure,79.23,0.21,80,15%,84%,86%,88%,99.7,29.5%,89.8%,66.4%,67.1%,61.1%
H4528,Local CCP,"BRAVO HEALTH TEXAS, INC.",Bravo Health,"HealthSpring, Inc.",0:18,83.2,14.0,Not enough data available to calculate measure,87.45,0.42,39,23%,82%,81%,88%,98.8,24.7%,89.2%,61.2%,61.1%,54.3%
H4529,Local CCP,"ARCADIAN HEALTH PLAN, INC.",Texas Community Care,Arcadian Management Services Inc.,No data available,No data available,0.7,Not enough data available to calculate measure,95.71,0.21,0,15%,82%,83%,89%,98.6,23.2%,88.1%,63.1%,66.4%,59.2%
H4564,1876 Cost,SCOTT AND WHITE HEALTH PLAN,Scott and White Health Plan SeniorCare,Scott and White Healthcare,Not required to report,Not required to report,0.0,Not enough data available to calculate measure,98.55,0.07,100,3%,88%,90%,96%,95.6,28.5%,86.1%,80.1%,79.5%,78.1%
H4590,Local CCP,"UNITEDHEALTHCARE BENEFITS OF TEXAS, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:02,77.4,0.1,40.0%,95.13,0.30,20,6%,84%,86%,91%,98.1,27.6%,88.0%,69.5%,68.7%,65.0%
H4604,Local CCP,"UNITEDHEALTHCARE OF UTAH, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",1:00,77.5,1.3,Not enough data available to calculate measure,95.03,0.29,40,7%,85%,84%,91%,98.2,18.2%,87.5%,70.7%,69.4%,67.8%
H4605,Local CCP,REGENCE BLUECROSS BLUESHIELD OF UT,Regence BlueCross BlueShield of Utah,The Regence Group,0:52,85.5,2.3,Not enough data available to calculate measure,95.15,0.12,60,15%,89%,84%,93%,96.2,22.6%,86.4%,73.9%,72.3%,70.3%
H4606,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:29,84.5,0.0,Not enough data available to calculate measure,72.83,0.36,100,23%,84%,85%,91%,96.7,19.4%,87.0%,74.9%,74.5%,71.6%
H4738,Local CCP,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","America's 1st Choice Health Plans, Inc.","America's 1st Choice Health Plans, Inc.",0:13,92.9,No data available,Not enough data available to calculate measure,97.47,Not enough data available to calculate measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H4754,Local CCP,"PACIFICSOURCE COMMUNITY HEALTH PLANS, INC.",PacificSource Medicare,PacificSource Health Plans,0:24,85.3,Not enough data available to calculate measure,No appeals required review,23.60,Not enough data available to calculate measure,100,Not enough data available to calculate measure,No data available,No data available,No data available,106.6,13.9%,88.0%,71.6%,77.9%,72.6%
H4785,PFFS,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","Humana Health Benefit Plan of Louisiana, Inc.",Humana Inc.,0:31,84.1,No data available,No appeals required review,87.41,Not enough data available to calculate measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H4837,Local CCP,UNITEDHEALTHCARE OF WISCONSIN,UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",1:02,No data available,Not enough data available to calculate measure,No appeals required review,92.75,0.70,80,Not enough data available to calculate measure,No data available,No data available,No data available,99.7,18.6%,87.7%,69.0%,56.1%,57.3%
H4866,Local CCP,CUATRO LLC,Access Medicare,Cuatro LLC.,0:49,75.0,No data available,No appeals required review,90.16,Not enough data available to calculate measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H4875,Local CCP,PRIORITY HEALTH,Priority Health Medicare,Spectrum Health System,1:19,84.6,0.0,No appeals required review,55.64,0.61,80,No data available,81%,83%,92%,97.2,22.9%,77.2%,77.3%,78.7%,76.2%
H4909,Local CCP,"ANTHEM HEALTH PLANS OF VIRGINIA, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:57,69.1,9.3,Not enough data available to calculate measure,82.89,0.75,60,6%,81%,84%,91%,96.3,20.1%,83.0%,73.6%,72.7%,72.0%
H4910,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Inc.,No data available,No data available,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,0,Not enough data available to calculate measure,No data available,No data available,No data available,96.2,11.2%,85.9%,66.8%,68.9%,63.1%
H4956,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:31,84.1,0.0,No appeals required review,83.83,0.82,100,13%,83%,85%,89%,96.3,28.6%,84.6%,70.2%,67.6%,64.2%
H4971,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,77.4,0.0,No appeals required review,96.11,0.94,60,15%,81%,84%,92%,98.5,18.5%,84.4%,71.4%,72.9%,71.5%
H5005,Local CCP,"UNITEDHEALTHCARE OF WASHINGTON, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0:59,76.8,0.3,Not enough data available to calculate measure,96.21,0.47,40,8%,82%,81%,92%,98.1,16.6%,85.0%,77.0%,76.9%,74.9%
H5006,PFFS,STERLING LIFE INSURANCE COMPANY,WindsorSterling,Munich American Holding Corporation,0:33,73.2,2.5,Not enough data available to calculate measure,93.39,1.16,60,17%,No data available,No data available,No data available,95.7,19.4%,83.2%,69.7%,67.4%,65.9%
H5008,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:59,No data available,0.0,Not enough data available to calculate measure,96.96,0.67,60,5%,76%,84%,89%,97.4,22.2%,83.8%,76.8%,73.5%,73.6%
H5009,Local CCP,REGENCE BLUESHIELD,Regence BlueShield,The Regence Group,0:56,85.1,4.8,Not enough data available to calculate measure,95.39,0.17,60,12%,90%,81%,93%,96.3,20.0%,85.4%,79.0%,79.2%,75.3%
H5010,Local CCP,ASURIS NORTHWEST HEALTH,Asuris Northwest Health,The Regence Group,0:56,85.1,0.0,Not enough data available to calculate measure,95.47,0.76,60,16%,84%,81%,92%,96.5,20.6%,86.3%,79.5%,76.5%,73.5%
H5016,Local CCP,PROVIDENCE HEALTH PLANS,Providence Health Plans,Providence Health & Services,0:33,90.7,No data available,No appeals required review,94.55,Not enough data available to calculate measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H5041,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:34,84.1,4.6,No appeals required review,83.44,0.49,100,11%,85%,84%,91%,96.9,23.0%,86.6%,76.5%,75.2%,71.9%
H5042,Local CCP,"CDPHP UNIVERSAL BENEFITS, INC.",CDPHP Medicare Choices,"Capital District Physicians' Health Plan, Inc.",0:32,87.1,0.0,No appeals required review,94.14,0.18,80,10%,84%,83%,91%,96.6,13.6%,81.9%,79.4%,80.7%,75.2%
H5050,Local CCP,GROUP HEALTH COOPERATIVE,Group Health Cooperative,Group Health Cooperative,0:35,92.9,0.0,Not enough data available to calculate measure,59.71,0.11,80,1%,88%,90%,94%,98.5,11.2%,90.0%,84.9%,84.4%,84.6%
H5087,Local CCP,EASY CHOICE HEALTH PLAN INC.,Easy Choice Health Plan,Easy Choice Health Plan Inc.,0:46,79.8,1.3,No appeals required review,98.99,0.17,80,25%,No data available,81%,No data available,98.0,23.9%,89.9%,68.6%,66.1%,58.5%
H5096,Local CCP,"UNIVERSAL HEALTH CARE INSURANCE COMPANY, INC.","Universal Health Care Insurance Company, Inc.","Universal Health Care Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5106,Local CCP,HIGHMARK HEALTH INSURANCE COMPANY,Highmark Health Insurance Company,Highmark Inc.,0:19,85.8,0.6,Not enough data available to calculate measure,95.78,0.30,66,5%,86%,82%,94%,98.3,21.9%,81.2%,74.9%,74.0%,68.8%
H5151,Local CCP,HEALTH PLAN OF THE UPPER OHIO VALLEY,The Health Plan,Health Plan of the Upper Ohio Valley,0:19,84.7,0.0,No appeals required review,99.23,0.04,100,3%,88%,86%,93%,98.1,22.5%,79.0%,74.5%,74.5%,67.3%
H5162,Local CCP,STERLING LIFE INSURANCE COMPANY,WindsorSterling,Munich American Holding Corporation,0:33,73.2,Not enough data available to calculate measure,No appeals required review,98.09,5.03,80,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,100.0%,No data available,No data available
H5206,Local CCP,"PARTNERSHIP HEALTH PLAN, INC.",Community Health Partnership,"Community Health Partnership, Inc.",0:21,No data available,0.0,No appeals required review,66.40,0.11,80,12%,93%,91%,96%,97.8,28.9%,71.1%,86.5%,81.0%,86.3%
H5207,Local CCP,"COMMUNITY CARE HEALTH PLAN, INC",Community Care,"Community Care, Inc.",0:02,No data available,Not enough data available to calculate measure,No appeals required review,93.75,Not enough data available to calculate measure,100,Not enough data available to calculate measure,No data available,No data available,No data available,Not enough data available to calculate measure,15.7%,81.2%,82.1%,78.2%,78.9%
H5209,Local CCP,"CARE WISCONSIN HEALTH PLAN, INC.","Care Wisconsin Health Plan, Inc.","Care Wisconsin First, Inc.",0:02,No data available,0.0,No appeals required review,98.84,0.20,60,Not enough data available to calculate measure,80%,90%,91%,98.1,23.3%,80.3%,88.6%,85.6%,87.4%
H5211,Local CCP,"SECURITY HEALTH PLAN OF WISCONSIN, INC",Advocare,Marshfield Clinic.,0:14,92.9,0.0,No appeals required review,35.26,0.03,80,2%,90%,88%,96%,97.9,13.4%,82.0%,85.4%,83.2%,80.3%
H5214,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:34,84.1,1.4,Not enough data available to calculate measure,86.89,0.63,80,14%,80%,84%,88%,96.7,24.7%,85.1%,70.0%,71.6%,67.5%
H5215,Local CCP,NETWORK HEALTH INSURANCE CORPORATION,Network Platinum Medicare Advantage Plans,Affinity Health System,0:33,96.7,0.8,Not enough data available to calculate measure,94.14,0.05,100,3%,87%,84%,93%,99.9,13.9%,81.7%,82.2%,82.2%,78.4%
H5216,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:31,84.1,1.8,Not enough data available to calculate measure,82.68,0.38,100,20%,84%,84%,92%,96.1,12.7%,82.8%,82.7%,82.1%,78.3%
H5253,Local CCP,"UNITEDHEALTHCARE OF WISCONSIN, INC",UnitedHealthcare,"UnitedHealth Group, Inc.",1:02,77.4,0.2,Not enough data available to calculate measure,94.61,0.29,40,6%,87%,85%,93%,98.1,13.4%,83.2%,78.8%,78.1%,74.0%
H5262,Local CCP,GUNDERSEN LUTHERAN HEALTH PLAN,"Gundersen Lutheran Health Plan, Inc.",Gundersen Lutheran Health System Inc.,0:21,88.3,0.0,No appeals required review,94.19,0.00,80,1%,90%,89%,95%,97.9,12.0%,85.6%,85.5%,82.9%,81.2%
H5291,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,0:29,84.5,3.4,Not enough data available to calculate measure,74.78,0.59,80,17%,66%,85%,90%,96.6,17.0%,91.2%,67.6%,74.7%,70.8%
H5294,Local CCP,"SUPERIOR HEALTH PLAN, INC.",Advantage by Superior HealthPlan,Centene Corporation,0:26,No data available,Not enough data available to calculate measure,No appeals required review,99.01,0.83,60,28%,No data available,No data available,No data available,Not enough data available to calculate measure,23.3%,80.9%,73.4%,66.9%,60.7%
H5302,Local CCP,"COVENTRY HEALTH CARE OF GEORGIA, INC.",Coventry Health Care,Coventry Health Care Inc.,0:19,84.9,6.6,Not enough data available to calculate measure,94.70,0.60,40,21%,78%,81%,88%,98.8,25.0%,82.6%,66.6%,65.3%,64.3%
H5378,Local CCP,THE PYRAMID LIFE INSURANCE COMPANY,Universal American Corp.,Universal American Corp.,No data available,No data available,0.0,Not enough data available to calculate measure,92.60,0.99,0,44%,81%,82%,88%,97.9,21.3%,83.6%,70.6%,67.6%,64.3%
H5402,Local CCP,"QUALITY HEALTH PLANS, INC.",Quality Health Plans,"QHP Group, Inc.",No data available,No data available,7.1,Not enough data available to calculate measure,Not enough data available to calculate measure,0.49,0,29%,86%,87%,91%,99.7,22.4%,83.7%,71.3%,69.8%,65.3%
H5404,Local CCP,"UNIVERSAL HEALTH CARE, INC.","Universal Health Care, Inc.","Universal Health Care Group, Inc.",0:19,25.9,0.0,76.9%,24.39,0.97,60,26%,85%,83%,91%,99.4,20.7%,81.1%,72.5%,72.9%,66.8%
H5407,Local CCP,"CITRUS HEALTH CARE, INC.","Citrus Health Care, Inc.","UnitedHealth Group, Inc.",0:17,83.8,0.0,No appeals required review,89.24,0.65,38,20%,77%,81%,85%,97.9,28.0%,87.4%,68.8%,63.7%,62.6%
H5410,Local CCP,"HEALTHSPRING OF FLORIDA, INC.","HealthSpring of Florida, Inc.","HealthSpring, Inc.",0:25,84.6,0.3,No appeals required review,97.49,0.13,44,7%,94%,94%,95%,99.4,38.5%,89.0%,75.3%,73.4%,55.1%
H5414,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Inc.,No data available,No data available,37.4,No appeals required review,Not enough data available to calculate measure,0.62,0,22%,82%,80%,89%,98.1,10.2%,84.9%,69.5%,73.3%,69.4%
H5415,Local CCP,"HUMANA HEALTH INSURANCE COMPANY OF FL, INC.","Humana Health Insurance Company of FL, Inc.",Humana Inc.,0:34,84.1,0.0,Not enough data available to calculate measure,89.49,0.93,100,60%,No data available,No data available,No data available,96.0,23.9%,81.1%,71.3%,80.8%,67.5%
H5416,Local CCP,"ARCADIAN HEALTH PLAN, INC.",Arcadian Health Plan,Arcadian Management Services Inc.,No data available,No data available,1.4,Not enough data available to calculate measure,94.45,0.65,0,25%,83%,83%,90%,98.1,20.2%,86.5%,71.7%,70.8%,66.5%
H5417,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,No data available,1.1,No appeals required review,97.77,1.94,40,1%,No data available,No data available,No data available,98.2,26.2%,80.5%,69.6%,70.6%,64.1%
H5420,Local CCP,"MEDICA HEALTHCARE PLANS, INC.","Medica HealthCare Plans, Inc.","Medica HealthCare Plans, Inc.",0:44,67.1,0.8,Not enough data available to calculate measure,95.43,0.30,80,11%,89%,92%,94%,99.4,26.9%,83.3%,75.9%,76.0%,60.8%
H5421,PFFS,THE PYRAMID LIFE INSURANCE COMPANY,Universal American Corp.,Universal American Corp.,No data available,No data available,2.5,50.0%,89.29,2.12,0,32%,76%,80%,92%,98.0,23.1%,82.8%,70.5%,69.4%,65.7%
H5422,Local CCP,BLUE CROSS BLUE SHIELD OF GEORGIA,Blue Cross Blue Shield Healthcare Plan of Georgia,"WellPoint, Inc.",0:57,69.1,11.1,Not enough data available to calculate measure,92.01,1.31,60,17%,79%,83%,91%,95.6,19.2%,82.2%,65.9%,69.8%,63.0%
H5424,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0:43,76.3,0.0,Not enough data available to calculate measure,96.61,0.18,40,9%,75%,84%,90%,97.8,16.5%,85.9%,71.8%,68.8%,66.7%
H5425,Local CCP,SCAN HEALTH PLAN,SCAN Health Plan,SCAN Health Plan,0:31,77.3,0.8,45.5%,94.12,0.28,60,14%,85%,86%,91%,95.9,18.9%,86.6%,70.9%,71.4%,67.4%
H5426,Local CCP,"HUMANA ADVANTAGECARE PLAN, INC.","Humana AdvantageCare Plan, Inc.",Humana Inc.,0:34,84.1,1.1,No appeals required review,76.53,0.49,100,22%,56%,82%,91%,96.2,20.4%,83.1%,74.0%,74.1%,69.6%
H5427,Local CCP,"FREEDOM HEALTH PLAN, INC.","Freedom Health, Inc.","America's 1st Choice Holdings of Florida, LLC",0:13,88.8,0.0,Not enough data available to calculate measure,95.97,0.39,40,22%,86%,88%,92%,96.8,22.4%,83.9%,74.0%,72.8%,70.3%
H5428,Local CCP,SAN MATEO HEALTH COMMISSION,Health Plan of San Mateo,Health Plan of San Mateo,0:30,No data available,0.0,No appeals required review,96.19,0.04,60,2%,71%,86%,89%,95.8,19.1%,85.5%,79.6%,75.9%,74.9%
H5429,Local CCP,"UNIVERSAL HEALTH CARE, INC.","Universal Health Care, Inc.","Universal Health Care Group, Inc.",0:19,25.9,0.0,Not enough data available to calculate measure,33.53,0.98,80,38%,85%,76%,88%,98.3,21.4%,85.2%,70.1%,73.6%,65.8%
H5430,Local CCP,CARE1ST HEALTH PLAN OF ARIZONA,"ONECare by Care1st Health Plan Arizona, Inc.",Care1st Health Plan,0:48,No data available,19.6,No appeals required review,94.69,0.75,100,11%,79%,83%,89%,97.6,21.6%,87.5%,64.0%,60.4%,62.6%
H5431,Local CCP,"HEALTHSUN HEALTH PLANS, INC.","HealthSun Health Plans, Inc.","HealthSun Health Plans, Inc",0:22,10.6,0.0,No appeals required review,97.21,0.66,60,33%,87%,89%,No data available,99.3,29.6%,87.6%,80.7%,76.0%,57.9%
H5433,Local CCP,ORANGE COUNTY HEALTH AUTHORITY,OneCare,CalOptima,0:26,No data available,0.0,Not enough data available to calculate measure,91.22,0.16,80,10%,86%,83%,88%,97.9,3.1%,89.5%,75.0%,73.2%,67.7%
H5434,Local CCP,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.","Blue Cross and Blue Shield of Florida, Inc.",Blue Cross and Blue Shield of Florida,0:37,53.4,3.7,Not enough data available to calculate measure,90.20,0.56,60,25%,82%,83%,90%,98.8,18.0%,84.4%,75.3%,77.1%,70.8%
H5435,PFFS,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:02,76.9,0.5,40.0%,95.45,1.17,20,7%,87%,84%,93%,98.2,24.1%,83.4%,71.6%,72.5%,68.7%
H5439,Local CCP,HEALTH NET LIFE INSURANCE COMPANY,Health Net Life Insurance Company,"Health Net, Inc.",No data available,No data available,Not enough data available to calculate measure,No appeals required review,21.86,0.52,0,Not enough data available to calculate measure,81%,84%,91%,98.4,18.7%,90.4%,86.7%,77.1%,71.5%
H5440,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1:06,No data available,0.0,No appeals required review,86.67,Not enough data available to calculate measure,60,26%,No data available,No data available,No data available,98.1,35.7%,85.6%,73.2%,61.2%,59.9%
H5470,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:34,84.1,1.7,Not enough data available to calculate measure,83.08,0.64,100,10%,85%,85%,90%,96.3,17.3%,82.7%,79.7%,79.2%,76.0%
