2011 Data View: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,
,,,Drug Plan Customer Service,,,,,,,Drug Plan Member Complaints and Medicare Audit Findings,,,Member Experience with Drug Plan,,,Drug Pricing and Patient Safety,,,,,
H4520,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:06,1:09,76.2%,67.9,11.7,Not enough data available to calculate measure,49.3%,0.58,0.28,No data available,82.3%,79.9%,90.5%,99.7%,97.9,27.2%,84.9%,,
H4522,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:35,0:35,64.8%,70.7,2.0,Not enough data available to calculate measure,89.5%,0.23,0.22,No data available,72.1%,84.2%,85.2%,99.5%,97.4,20.1%,89.1%,,
H4523,Aetna Medicare,AETNA HEALTH INC.,0:35,0:31,64.0%,50.7,10.9,63.6%,77.4%,0.67,0.39,No data available,79.8%,81.8%,86.8%,99.9%,97.9,8.8%,88.3%,,
H4524,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,0:35,0:31,64.0%,50.7,4.5,78.6%,91.2%,0.65,0.65,No data available,71.1%,77.0%,86.2%,99.8%,97.7,12.4%,84.6%,,
H4525,FirstCare Advantage,"SHA, L.L.C",0:29,1:12,81.3%,86.7,5.2,Not enough data available to calculate measure,100.0%,0.35,0.07,20,79.3%,84.1%,89.0%,99.1%,97.4,36.9%,87.2%,,
H4527,PHYSICIANS HEALTH CHOICE,PHYSICIANS HEALTH CHOICE OF TEXAS LLC,0:33,1:14,77.1%,74.3,1.9,No appeals required review,5.4%,0.18,0.15,17,84.9%,88.6%,90.9%,98.8%,98.4,29.9%,90.3%,,
H4528,Bravo Health,"BRAVO HEALTH TEXAS, INC.",0:24,0:41,66.3%,72.7,0.7,40.0%,83.0%,0.44,0.48,No data available,74.8%,82.8%,86.1%,99.9%,98.1,23.5%,90.0%,,
H4529,Texas Community Care,"ARCADIAN HEALTH PLAN, INC.",0:50,1:07,74.4%,54.2,0.0,Not enough data available to calculate measure,71.6%,0.22,0.24,No data available,83.2%,85.0%,87.3%,99.7%,98.7,22.9%,88.8%,,
H4590,SecureHorizons by UnitedHealthcare,"PACIFICARE OF TEXAS, INC.",0:33,0:35,64.8%,70.7,2.5,42.9%,96.2%,0.23,0.17,20,84.2%,84.6%,91.2%,99.3%,97.5,22.6%,87.7%,,
H4604,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF UTAH, INC.",0:35,0:35,64.8%,70.7,3.2,Not enough data available to calculate measure,99.0%,0.40,0.38,No data available,76.6%,82.4%,89.2%,98.9%,97.7,16.9%,87.1%,,
H4605,Regence BlueCross BlueShield of Utah,REGENCE BLUECROSS BLUESHIELD OF UT,0:24,0:49,76.8%,79.2,6.1,60.0%,86.4%,0.30,0.07,No data available,85.7%,79.1%,92.2%,99.2%,95.8,23.5%,87.2%,,
H4606,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:09,1:10,76.2%,67.9,17.7,Not enough data available to calculate measure,59.4%,0.36,0.18,No data available,86.7%,82.7%,90.8%,99.9%,98.7,18.6%,87.0%,,
H4738,"America's 1st Choice Health Plans, Inc.","AMERICA'S 1ST CHOICE HEALTH PLANS, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H4754,Clear One Health Plans,"CLEAR ONE HEALTH PLANS, INC.",0:31,1:11,78.5%,77.8,Plan too new to be measured,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,92.9%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H4785,"Humana Health Benefit Plan of LA, Inc.","HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H4837,UnitedHealthcare Personal Care Plus,UNITEDHEALTHCARE OF WISCONSIN,0:24,0:39,40.6%,63.1,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.7%,Not enough data available to calculate measure,14.8%,93.5%,,
H4866,CUATRO LLC,CUATRO LLC,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H4875,Priority Health Medicare,PRIORITY HEALTH,1:27,0:50,77.3%,61.1,Plan too new to be measured,No appeals required review,0.0%,0.40,0.19,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,94.8%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H4908,Optima Medicare,OPTIMA HEALTH INSURANCE COMPANY,0:20,0:13,69.6%,86.8,0.0,No appeals required review,0.0%,0.71,0.18,No data available,83.1%,83.0%,90.2%,97.6%,97.8,22.1%,82.7%,,
H4909,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF VIRGINIA, INC.",0:28,0:53,57.5%,43.1,0.0,No appeals required review,100.0%,1.53,0.59,No data available,80.1%,78.8%,90.2%,99.8%,Not enough data available to calculate measure,20.6%,86.3%,,
H4910,Aetna Medicare,AETNA HEALTH INC.,0:34,0:30,64.0%,50.7,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.3%,99.5,10.6%,96.6%,,
H4956,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:06,1:09,76.2%,67.9,0.0,Not enough data available to calculate measure,73.8%,0.76,0.41,No data available,79.6%,83.9%,90.4%,99.9%,98.4,28.1%,88.0%,,
H4971,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:40,0:38,64.8%,70.7,0.0,No appeals required review,100.0%,0.45,0.56,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.4%,96.5,15.3%,85.6%,,
H5005,SecureHorizons by UnitedHealthcare,"PACIFICARE OF WASHINGTON, INC.",0:39,0:36,64.6%,70.5,0.9,Not enough data available to calculate measure,96.4%,0.29,0.27,No data available,79.2%,83.1%,92.0%,99.4%,97,15.1%,85.1%,,
H5006,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY,0:38,1:12,55.6%,2.1,2.7,80.0%,75.7%,0.41,0.24,No data available,81.9%,76.4%,87.0%,99.5%,96.2,20.4%,84.7%,,
H5008,Evercare® by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:26,0:36,64.6%,70.5,0.0,No appeals required review,96.6%,0.50,0.61,No data available,79.3%,80.0%,89.4%,99.7%,97.7,20.6%,83.8%,,
H5009,Regence BlueShield,REGENCE BLUESHIELD,0:27,0:49,76.7%,79.0,6.7,Not enough data available to calculate measure,79.6%,0.63,0.15,No data available,84.7%,77.9%,89.9%,99.7%,95.9,20.0%,86.7%,,
H5010,Asuris Northwest Health,ASURIS NORTHWEST HEALTH,0:27,0:49,76.7%,79.0,0.0,Not enough data available to calculate measure,96.0%,0.51,0.31,No data available,82.2%,78.7%,92.2%,99.3%,96.4,22.7%,86.4%,,
H5016,Providence Health Plan,PROVIDENCE HEALTH PLANS,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H5041,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:02,1:06,76.2%,67.9,41.6,Not enough data available to calculate measure,70.1%,0.57,0.37,No data available,81.7%,83.5%,92.3%,98.1%,98.7,20.4%,88.1%,,
H5042,CDPHP Medicare Choices,"CDPHP UNIVERSAL BENEFITS, INC.",0:42,0:53,91.6%,80.6,0.0,No appeals required review,7.7%,0.16,0.04,No data available,88.9%,83.2%,92.2%,99.6%,94.6,14.0%,85.7%,,
H5050,Group Health Cooperative,GROUP HEALTH COOPERATIVE,0:59,0:31,72.3%,73.6,4.5,Not enough data available to calculate measure,64.8%,0.05,0.07,27,90.8%,89.0%,94.5%,98.4%,96.3,12.8%,90.2%,,
H5087,Easy Choice Health Plan,EASY CHOICE HEALTH PLAN INC.,0:22,0:22,85.3%,84.6,0.0,Not enough data available to calculate measure,0.0%,0.09,0.16,No data available,75.5%,79.6%,82.8%,99.7%,98.3,29.7%,89.5%,,
H5106,Highmark Health Insurance Company,HIGHMARK HEALTH INSURANCE COMPANY,0:26,0:39,85.4%,92.3,2.4,40.0%,89.0%,0.17,0.20,No data available,85.8%,80.0%,91.2%,99.2%,97.8,23.5%,83.2%,,
H5151,The Health Plan,HEALTH PLAN OF THE UPPER OHIO VALLEY,0:06,0:39,88.9%,77.8,0.0,Not enough data available to calculate measure,15.4%,0.02,0.02,No data available,87.9%,83.5%,93.2%,98.0%,Not enough data available to calculate measure,23.0%,79.5%,,
H5162,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY,0:36,1:12,55.6%,2.1,Plan too new to be measured,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too new to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H5206,Community Health Partnership,"PARTNERSHIP HEALTH PLAN, INC.",0:21,0:33,63.4%,80.8,0.0,No appeals required review,20.0%,0.10,0.00,30,86.5%,90.8%,95.2%,78.5%,98.3,29.6%,74.7%,,
H5207,Community Care,"COMMUNITY CARE HEALTH PLAN, INC",0:01,0:01,72.3%,82.6,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,98.8%,93,17.4%,85.2%,,
H5209,"Care Wisconsin Health Plan, Inc.","CARE WISCONSIN HEALTH PLAN, INC.",1:04,0:01,62.7%,77.6,0.0,No appeals required review,Not enough data available to calculate measure,0.00,0.19,No data available,82.0%,86.7%,89.8%,99.1%,91.7,20.7%,81.7%,,
H5211,Advocare,"SECURITY HEALTH PLAN OF WISCONSIN, INC",0:22,0:28,80.7%,91.7,0.0,No appeals required review,83.3%,0.01,0.04,No data available,90.6%,89.0%,95.6%,98.9%,97.8,14.3%,82.5%,,
H5214,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:02,1:09,76.2%,67.9,13.9,20.0%,69.2%,0.41,0.46,No data available,84.5%,83.6%,92.3%,99.8%,98.2,24.3%,84.5%,,
H5215,Network Platinum Medicare Advantage Plans,NETWORK HEALTH INSURANCE CORPORATION,0:05,1:02,87.1%,88.9,1.4,Not enough data available to calculate measure,99.2%,0.04,0.07,No data available,90.7%,87.8%,96.6%,99.3%,96.2,15.2%,82.4%,,
H5216,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:06,1:09,76.2%,67.9,25.8,33.3%,78.5%,0.40,0.16,No data available,82.8%,82.1%,88.9%,99.8%,98.5,14.5%,83.3%,,
H5253,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF WISCONSIN, INC",0:33,0:35,64.8%,70.7,3.4,80.0%,99.3%,0.24,0.24,20,74.7%,81.1%,89.9%,98.5%,97.1,11.7%,83.4%,,
H5262,"Gundersen Lutheran Health Plan, Inc.",GUNDERSEN LUTHERAN HEALTH PLAN,0:51,0:33,74.7%,38.2,0.0,No appeals required review,77.8%,0.01,0.03,No data available,91.8%,88.8%,93.3%,98.5%,97.3,11.9%,85.5%,,
H5291,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",1:09,1:10,76.2%,67.9,7.8,Not enough data available to calculate measure,75.7%,0.67,0.43,No data available,79.6%,81.8%,89.2%,99.9%,99.2,17.5%,89.3%,,
H5294,Advantage by SuperiorHealthPlan,"SUPERIOR HEALTH PLAN, INC.",0:36,0:34,68.0%,71.5,Not enough data available to calculate measure,No appeals required review,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,Not enough data available to calculate measure,29.0%,82.8%,,
H5302,Coventry Health Care,"COVENTRY HEALTH CARE OF GEORGIA, INC.",0:32,0:39,69.2%,74.3,0.0,Not enough data available to calculate measure,94.4%,0.59,0.82,No data available,75.3%,80.0%,87.9%,98.8%,Not enough data available to calculate measure,29.3%,87.1%,,
H5378,Universal American,THE PYRAMID LIFE INSURANCE COMPANY,0:27,0:31,66.4%,70.8,0.0,Not enough data available to calculate measure,84.0%,1.96,1.31,No data available,56.1%,74.6%,84.9%,94.1%,96.4,27.6%,78.9%,,
H5402,Quality Health Plans,"QUALITY HEALTH PLANS, INC.",3:25,2:08,86.6%,9.7,7.1,37.5%,2.9%,0.30,0.65,No data available,79.4%,82.8%,89.4%,99.9%,98.7,24.2%,84.9%,,
H5404,"Universal Health Care, Inc.","UNIVERSAL HEALTH CARE, INC.",0:50,1:06,65.5%,63.9,0.0,Not enough data available to calculate measure,47.6%,0.40,0.62,No data available,77.4%,78.2%,89.3%,96.5%,Not enough data available to calculate measure,21.0%,82.0%,,
H5407,"Citrus Health Care, Inc.","CITRUS HEALTH CARE, INC.",0:24,0:32,78.8%,85.4,0.0,Not enough data available to calculate measure,70.8%,0.41,0.44,No data available,77.7%,81.4%,89.2%,97.3%,98.5,26.1%,87.9%,,
H5410,"HealthSpring of Florida, Inc.","HEALTHSPRING OF FLORIDA, INC.",0:23,0:11,78.6%,84.0,0.0,20.0%,78.9%,0.09,0.04,No data available,82.6%,87.8%,83.6%,99.8%,97.3,39.7%,89.2%,,
H5414,Aetna Medicare,AETNA HEALTH INC.,0:34,0:30,64.0%,50.7,15.3,45.5%,94.4%,1.26,0.60,No data available,78.3%,75.1%,86.1%,97.3%,97.5,8.4%,84.4%,,
H5415,"Humana Health Insurance Company of FL, Inc.","HUMANA HEALTH INSURANCE COMPANY OF FL, INC.",1:02,1:06,76.2%,67.9,13.6,No appeals required review,77.8%,0.26,0.26,No data available,75.1%,78.9%,88.9%,100.0%,99.3,22.9%,79.0%,,
H5416,Spokane Community Care,"ARCADIAN HEALTH PLAN, INC.",0:51,1:09,74.4%,54.2,3.0,No appeals required review,74.7%,0.42,0.40,48,79.2%,80.7%,88.5%,99.6%,99.1,18.6%,89.8%,,
H5417,Evercare® by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:29,0:38,64.8%,70.7,2.7,Not enough data available to calculate measure,89.3%,0.23,0.33,No data available,81.6%,77.1%,90.6%,99.4%,97.3,23.0%,81.0%,,
H5420,"Medica HealthCare Plans, Inc.","MEDICA HEALTHCARE PLANS, INC.",1:05,1:15,69.7%,81.3,0.0,Not enough data available to calculate measure,66.2%,0.27,0.31,No data available,83.2%,90.2%,92.4%,99.6%,96.3,28.4%,82.0%,,
H5421,Universal American,THE PYRAMID LIFE INSURANCE COMPANY,0:31,0:31,69.0%,67.4,1.9,40.0%,81.5%,1.21,0.48,No data available,77.0%,82.8%,90.2%,98.8%,97.9,24.4%,82.5%,,
H5422,Blue Cross Blue Shield Healthcare Plan of Georgia,BLUE CROSS BLUE SHIELD OF GEORGIA,0:38,0:53,57.5%,43.1,0.0,Not enough data available to calculate measure,100.0%,0.67,1.45,No data available,72.6%,77.8%,89.0%,100.0%,Not enough data available to calculate measure,20.2%,83.7%,,
H5424,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:36,0:28,64.6%,71.2,1.3,No appeals required review,98.6%,0.20,0.07,No data available,77.6%,80.1%,87.3%,99.5%,94.9,15.3%,84.8%,,
H5425,SCAN Health Plan,SCAN HEALTH PLAN,0:50,1:36,83.7%,83.9,0.8,Not enough data available to calculate measure,71.7%,0.22,0.25,No data available,82.8%,85.1%,89.5%,99.4%,88.4,19.9%,87.1%,,
H5426,"Humana AdvantageCare Plan, Inc.","HUMANA ADVANTAGECARE PLAN, INC.",1:02,1:06,76.2%,67.9,15.1,20.0%,59.3%,0.65,0.63,No data available,76.6%,76.4%,85.6%,99.7%,99,22.1%,83.0%,,
H5427,"Freedom Health, Inc.","FREEDOM HEALTH PLAN, INC.",0:35,0:14,73.5%,51.4,0.0,Not enough data available to calculate measure,87.0%,0.31,0.33,33,77.3%,84.8%,88.3%,97.5%,98,21.8%,82.9%,,
H5428,Health Plan of San Mateo,SAN MATEO HEALTH COMMISSION,0:05,0:09,87.6%,66.4,0.0,No appeals required review,20.0%,0.02,0.04,No data available,77.7%,83.9%,87.2%,79.9%,93.6,19.5%,85.0%,,
H5429,"Universal Health Care, Inc.","UNIVERSAL HEALTH CARE, INC.",0:50,1:21,65.5%,63.9,0.0,Not enough data available to calculate measure,60.0%,0.38,0.90,No data available,74.7%,73.1%,85.3%,99.0%,Not enough data available to calculate measure,21.8%,81.4%,,
H5430,"ONECare by Care1st Health Plan Arizona, Inc.",CARE1ST HEALTH PLAN OF ARIZONA,0:23,0:33,72.2%,67.4,71.4,Not enough data available to calculate measure,Not enough data available to calculate measure,0.34,0.34,No data available,75.7%,80.1%,85.9%,96.3%,95.3,25.1%,87.7%,,
H5431,"HealthSun Health Plans, Inc.","HEALTHSUN HEALTH PLANS, INC.",0:14,0:58,67.3%,4.9,0.0,No appeals required review,Not enough data available to calculate measure,0.20,0.20,No data available,80.9%,87.6%,88.4%,93.5%,98.4,30.2%,87.3%,,
H5433,OneCare,ORANGE COUNTY HEALTH AUTHORITY,0:09,1:33,77.7%,74.1,0.0,Not enough data available to calculate measure,Not enough data available to calculate measure,0.16,0.06,No data available,77.4%,80.7%,84.8%,99.8%,98.2,5.2%,89.6%,,
H5434,"Blue Cross and Blue Shield of Florida, Inc.","BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",0:42,0:20,57.3%,25.2,0.0,Not enough data available to calculate measure,74.1%,0.84,0.25,No data available,80.7%,76.9%,88.3%,94.4%,98.5,21.4%,83.4%,,
H5435,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:31,0:35,64.8%,70.7,3.2,57.1%,98.6%,0.49,0.30,20,79.1%,82.2%,90.4%,99.3%,97.3,19.8%,84.1%,,
H5439,Health Net Life Insurance Company,HEALTH NET LIFE INSURANCE COMPANY,0:32,0:49,81.0%,79.2,Not enough data available to calculate measure,No appeals required review,44.4%,Not enough data available to calculate measure,Not enough data available to calculate measure,19,75.9%,78.4%,89.9%,93.4%,96.1,20.8%,86.7%,,
H5440,Evercare® by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:32,0:38,64.8%,70.7,0.0,No appeals required review,90.0%,0.49,0.49,No data available,78.7%,78.7%,88.6%,99.6%,97.1,37.1%,87.6%,,
H5470,Humana Insurance Company,HUMANA INSURANCE COMPANY,1:02,1:06,76.2%,67.9,0.0,Not enough data available to calculate measure,77.6%,0.61,0.24,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.8%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,,
H5475,Health Plan of Michigan Gold Plan,"HEALTH PLAN OF MICHIGAN, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,
H5507,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:36,0:35,61.2%,72.0,11.9,Not enough data available to calculate measure,100.0%,0.27,0.35,No data available,74.0%,81.1%,91.7%,99.8%,97.1,15.5%,82.0%,,
H5508,"ADVANTAGE Health Solutions, Inc.","ADVANTAGE HEALTH SOLUTIONS, INC.",0:25,1:30,71.8%,73.6,0.0,No appeals required review,100.0%,0.24,0.29,No data available,83.2%,79.1%,89.2%,99.5%,96.8,26.1%,80.2%,,
H5509,COVENTRY HEALTH CARE,COVENTRY HEALTH AND LIFE INS. COMPANY,0:30,0:41,69.2%,74.3,1.8,Not enough data available to calculate measure,92.1%,0.28,0.23,No data available,80.5%,78.7%,90.6%,99.5%,Not enough data available to calculate measure,20.4%,85.1%,,
H5516,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:38,0:38,64.8%,70.7,0.0,No appeals required review,100.0%,0.38,0.13,No data available,77.2%,80.6%,91.0%,98.0%,96.6,19.4%,81.7%,,
H5520,Health Net Medicare Advantage,HEALTH NET LIFE INSURANCE COMPANY,1:18,0:49,82.9%,76.4,0.0,Not enough data available to calculate measure,48.2%,0.18,0.10,19,81.7%,80.8%,91.7%,89.6%,96.5,18.6%,83.9%,,
H5521,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,0:34,0:30,64.0%,50.7,10.5,71.4%,93.8%,0.09,0.06,No data available,80.5%,79.5%,88.3%,99.7%,97.5,7.0%,83.3%,,
H5522,HealthAmerica,"HEALTHASSURANCE PENNSYLVANIA, INC.",0:33,0:39,69.2%,74.3,0.6,28.6%,95.3%,0.23,0.25,No data available,85.7%,80.5%,91.8%,99.3%,Not enough data available to calculate measure,16.3%,81.6%,,
H5525,"Humana Benefit Plan of Illinois, Inc.","HUMANA BENEFIT PLAN OF ILLINOIS, INC.",1:06,1:09,76.2%,67.9,12.5,Not enough data available to calculate measure,60.8%,0.27,0.14,No data available,79.9%,81.3%,90.6%,89.0%,98.1,22.7%,84.3%,,
H5526,Forever Blue Medicare PPO,HEALTHNOW NEW YORK INC.,0:44,0:39,75.4%,83.3,0.7,62.5%,73.5%,0.14,0.06,No data available,78.8%,78.3%,89.1%,94.9%,Not enough data available to calculate measure,17.8%,82.0%,,
H5528,EmblemHealth Medicare PPO,GROUP HEALTH INCORPORATED,0:31,1:02,86.0%,88.9,6.6,80.0%,95.6%,0.58,0.62,No data available,75.1%,77.2%,88.0%,98.2%,96.5,13.8%,85.1%,,
H5529,Anthem Blue Cross and Blue Shield,COMMUNITY INSURANCE COMPANY,0:42,0:53,57.5%,43.1,1.2,Not enough data available to calculate measure,97.7%,0.29,0.20,No data available,83.5%,77.3%,87.9%,100.0%,Not enough data available to calculate measure,20.2%,81.9%,,
H5530,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",0:42,0:53,57.5%,43.1,0.0,Not enough data available to calculate measure,94.7%,0.41,0.46,No data available,80.4%,77.7%,89.1%,99.6%,Not enough data available to calculate measure,21.8%,82.0%,,
H5532,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,0:38,0:38,64.8%,70.7,0.0,No appeals required review,Not enough data available to calculate measure,0.53,0.71,No data available,81.1%,78.9%,90.5%,98.6%,96.3,17.5%,81.8%,,
H5533,UPMC Health Plan,UPMC HEALTH NETWORK,0:24,1:15,80.3%,65.3,0.0,No appeals required review,87.5%,0.24,0.24,No data available,80.7%,81.3%,88.9%,99.2%,95.9,17.1%,82.9%,,
H5549,VNSNY CHOICE Medicare,VNS CHOICE,0:44,0:24,68.4%,40.2,0.0,Not enough data available to calculate measure,90.9%,0.80,0.65,No data available,71.0%,78.5%,84.8%,99.3%,97.5,17.3%,87.4%,,
H5575,Fidelis SecureCare of North Carolina,FIDELIS SECURECARE OF NORTH CAROLINA,0:32,0:19,47.9%,68.8,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,99.8%,96.8,28.8%,76.7%,,
H5576,"Vantage Health Plan, Inc.","VANTAGE  HEALTH PLAN, INC.",0:19,1:26,82.2%,88.2,0.0,No appeals required review,42.1%,0.14,0.10,No data available,93.0%,90.1%,95.3%,98.1%,96.3,34.1%,84.0%,,
H5577,MCS Classicare,MCS ADVANTAGE INC.,1:03,1:12,66.7%,9.0,0.2,50.0%,84.2%,0.10,0.09,5,82.1%,92.0%,89.6%,Not enough data available to calculate measure,96.9,41.6%,88.0%,,
H5578,Southeast Community Care,"ARCADIAN HEALTH PLAN OF GEORGIA, INC.",0:45,1:05,74.4%,54.2,0.0,No appeals required review,76.6%,0.40,0.64,No data available,78.9%,82.7%,87.2%,99.1%,98.8,28.8%,86.6%,,
H5580,Mercy Care Advantage,SOUTHWEST CATHOLIC HEALTH NETWORK CORPORATION,0:59,0:37,68.4%,84.0,28.5,52.4%,0.0%,0.04,0.07,No data available,70.8%,77.7%,82.9%,100.0%,97,30.4%,86.2%,,
H5587,Health Choice Generations,"HEALTH CHOICE ARIZONA, INC.",0:06,1:05,67.6%,77.8,0.0,Not enough data available to calculate measure,93.8%,0.08,0.04,No data available,81.3%,83.3%,86.5%,100.0%,99.6,27.6%,85.2%,,
H5590,Advantage by Bridgeway Health Solutions,BRIDGEWAY HEALTH SOLUTIONS,0:25,0:38,63.4%,78.5,0.0,No appeals required review,Not enough data available to calculate measure,0.00,0.12,17,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,100.0%,Not enough data available to calculate measure,25.8%,80.3%,,
H5591,Martin's Point Generations Advantage,"MARTIN'S POINT GENERATIONS, LLC",0:45,1:00,89.5%,93.7,0.0,Not enough data available to calculate measure,85.0%,0.10,0.10,No data available,91.3%,89.1%,94.6%,99.9%,98.2,11.9%,81.6%,,
H5594,"Optimum HealthCare, Inc.","OPTIMUM HEALTHCARE, INC.",0:24,0:16,70.1%,51.4,0.0,No appeals required review,58.3%,0.35,0.34,55,76.6%,83.0%,89.9%,96.0%,97.1,19.0%,78.9%,,
H5608,Denver Health Medical Plan,"DENVER HEALTH MEDICAL PLAN, INC.",0:23,0:58,60.4%,20.1,0.0,No appeals required review,6.3%,0.17,0.12,No data available,75.4%,81.5%,88.7%,98.8%,98.3,21.5%,92.4%,,
H5609,GEMCARE Health Plan,GEMCARE HEALTH PLAN INC.,0:32,0:34,85.5%,86.1,4.7,No appeals required review,50.0%,0.02,0.15,No data available,85.9%,88.0%,92.6%,98.1%,98,28.4%,84.3%,,
H5619,Northeast Community Care,"ARCADIAN HEALTH PLAN, INC.",0:45,1:05,74.4%,54.2,0.0,No appeals required review,66.7%,0.17,0.20,No data available,82.0%,83.2%,90.2%,99.7%,98.7,16.0%,82.4%,,
