CY2014 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary Hold Time - DMC09,Call Center – Information Accuracy - DMC10,Pneumonia Vaccine - DMC11,Access to Primary Care Doctor Visits - DMC12,Grievance Rate - DMC13,Special Needs Plan (SNP) Care Management - DMC14,Calls Disconnected When Customer Calls Health Plan  - DMC15,Pharmacotherapy Management of COPD Exacerbation - Systemic Corticosteroid - DMC16,Pharmacotherapy Management of COPD Exacerbation - Bronchodilator - DMC17,Initiation of Alcohol or other Drug Treatment - DMC18,Engagement of Alcohol or other Drug Treatment - DMC19,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time- DMD04,Call Center – Information Accuracy- DMD05,Drug-Drug Interactions - DMD06,Diabetes Medication Dosing - DMD07,Completeness of the Drug Plan's Information on Members Who Need Extra Help - DMD08,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD09,MPF - Stability - DMD10,Grievance Rate - DMD11,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD12,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD13,Getting Information from Drug Plan - DMD14,Call Center—Pharmacy Hold Time measures - DMD15,Plan Submitted Higher Prices for Display on MPF - DMD16,Enrollment Timeliness - DME01
S1140,HEALTHNOW NEW YORK INC.,HealthNow New York Inc.,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,98%
S1480,AULTCARE INSURANCE COMPANY,Aultman Health Foundation,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,10.5%,0.46%,No data available,100%,101,No data available,No data available,No data available,No data available,No data available,99,No data available
S1822,"HEALTHPARTNERS, INC.","HealthPartners, Inc.",PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,No data available,No data available,No data available,No data available,7.7%,0.00%,82.10%,100%,No data available,No Data Available,7.6%,No data available,88%,No data available,No data available,No data available
S2321,QCC INSURANCE COMPANY,Independence Blue Cross,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,50%,100.00%,0.83%,0:10,82%,8.1%,1.76%,100.00%,100%,No data available,1.01,CMS Found Issues with Plan's Data,21.86%,Not enough data available,0:21,No data available,94%
S2468,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,89%,80.00%,1.00%,1:18,78%,7.9%,1.77%,99.40%,96%,101,CMS Found Issues with Plan's Data,0.4%,18.54%,Not enough data available,0:03,99,89%
S2505,"WINDSOR HEALTH PLAN, INC.",Munich American Holding Corporation,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,100.00%,0.46%,0:22,87%,9.7%,1.17%,100.00%,100%,100,CMS Found Issues with Plan's Data,4.7%,30.47%,81%,0:20,98,99%
S2874,"HUMANA INSURANCE OF PUERTO RICO, INC.",Humana Inc.,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,1.50%,0:49,88%,11.3%,0.00%,No data available,100%,99,No Data Available,14.3%,No data available,No data available,0:11,97,93%
S2893,ANTHEM INSURANCE CO. & BCBSMA & BCBSRI & BCBSVT,Anthem Insurance Co. & BCBSMA & BCBSRI & BCBSVT,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,93%,92.11%,1.67%,0:13,84%,6.9%,0.96%,100.00%,100%,100,1.03,6.1%,24.75%,76%,0:20,98,40%
S3389,"UPMC HEALTH BENEFITS, INC.",University of Pittsburgh Medical Center,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,8.9%,0.00%,100.00%,100%,No data available,No Data Available,0.0%,No data available,No data available,No data available,No data available,No data available
S3440,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,Henry Ford Health System,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,0.00%,0:48,78%,9.9%,1.40%,99.40%,100%,99,0.00,12.8%,0.00%,Not enough data available,0:04,96,79%
S3474,HEARTLAND FIDELITY INSURANCE COMPANY,Heartland Fidelity Insurance Company,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available
S3521,"EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,100.00%,0.00%,4:01,78%,8.7%,0.66%,99.50%,96%,99,0.47,1.4%,20.85%,Not enough data available,0:12,98,96%
S3875,GRANITE ALLIANCE INSURANCE COMPANY,Granite Alliance Insurance Company,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S3994,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),Hawaii Medical Service Association,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,1.6%,0.39%,No data available,100%,No data available,No data available,2.9%,No data available,No data available,No data available,No data available,No data available
S4219,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,50%,No data available,1.67%,0:03,76%,12.4%,1.53%,99.90%,100%,99,0.08,18.1%,26.47%,80%,0:11,90,81%
S4802,STERLING LIFE INSURANCE COMPANY,Munich American Holding Corporation,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,100.00%,0.46%,0:22,85%,7.6%,1.39%,100.00%,100%,100,CMS Found Issues with Plan's Data,5.4%,22.50%,77%,0:20,97,98%
S5351,"PACIFICSOURCE COMMUNITY HEALTH PLANS, INC.",PacificSource Health Plans,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available
S5540,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,100.00%,0.00%,0:10,87%,8.8%,1.28%,99.80%,100%,99,CMS Found Issues with Plan's Data,1.9%,20.22%,80%,0:19,99,96%
S5552,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Inc.,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,No data available,0.19%,0:22,92%,7.8%,0.90%,99.90%,100%,100,CMS Found Issues with Plan's Data,6.3%,20.76%,Not enough data available,0:11,98,97%
S5569,CAMBRIDGE LIFE INSURANCE COMPANY,Aetna Inc.,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,No data available,0.83%,0:28,92%,6.9%,0.85%,99.90%,96%,98,0.29,10.3%,18.96%,79%,0:09,99,99%
S5580,FIRST UNITED AMERICAN LIFE INSURANCE COMPANY,Torchmark Corporation,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,100.00%,0.63%,0:42,77%,7.0%,0.81%,99.10%,100%,100,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,19.13%,Not enough data available,0:09,99,99%
S5584,BLUE CROSS BLUE SHIELD OF MICHIGAN,Blue Cross Blue Shield of Michigan,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,80%,100.00%,2.12%,0:22,89%,7.7%,1.00%,100.00%,100%,100,0.15,8.0%,17.13%,Not enough data available,0:09,99,92%
S5588,PARAMOUNT INSURANCE COMPANY,Promedica Health System,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,13.4%,2.47%,80.00%,100%,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available,No data available
S5593,HM HEALTH INSURANCE COMPANY,Highmark,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,94%,84.21%,0.50%,2:39,89%,7.7%,0.98%,99.80%,100%,99,CMS Found Issues with Plan's Data,1.4%,20.64%,75%,0:09,98,97%
S5596,"ANTHEM INSURANCE COMPANIES, INC.","WellPoint, Inc.",PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,100.00%,0.29%,0:11,92%,8.5%,1.32%,100.00%,92%,99,0.15,11.6%,23.11%,Not enough data available,0:06,97,93%
S5601,SILVERSCRIPT INSURANCE COMPANY,CVS Caremark Corporation,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,99%,93.21%,1.54%,0:40,No data available,8.6%,0.88%,99.80%,100%,98,CMS Found Issues with Plan's Data,3.3%,24.57%,78%,0:20,99,37%
S5609,ASURIS NORTHWEST HEALTH,"Cambia Health Solutions, Inc.",PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,0.20%,0:04,92%,8.4%,2.08%,100.00%,92%,100,0.03,CMS Found Issues with Plan's Data,12.96%,Not enough data available,0:03,98,96%
S5617,CONNECTICUT GENERAL LIFE INSURANCE COMPANY,CIGNA,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,80%,80.00%,0.00%,0:28,79%,7.9%,0.16%,99.90%,100%,99,0.17,3.8%,25.02%,Not enough data available,0:10,99,99%
S5660,MEDCO CONTAINMENT LIFE INSURANCE COMPANY,Express Scripts Holding Company,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,96%,76.84%,0.00%,0:16,81%,8.4%,0.75%,99.90%,100%,100,0.17,3.5%,24.11%,83%,0:09,98,98%
S5670,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Aetna Inc.,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,83%,No data available,0.00%,0:38,92%,10.4%,1.00%,99.70%,96%,98,0.18,5.0%,24.32%,78%,0:09,98,98%
S5674,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,Aetna Inc.,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,No data available,0.50%,0:30,92%,9.8%,0.92%,99.80%,96%,99,0.21,5.2%,21.78%,81%,0:09,98,98%
S5715,HCSC INSURANCE SERVICES COMPANY,Health Care Service Corporation,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,98%,97.56%,0.00%,0:26,88%,7.5%,0.38%,100.00%,100%,99,3.16,4.0%,25.54%,Not enough data available,0:15,98,96%
S5726,BLUE CROSS AND BLUE SHIELD OF KANSAS,Blue Cross Blue Shield of Kansas,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,No data available,0.41%,0:15,82%,9.4%,1.12%,99.90%,92%,99,0.12,11.7%,24.72%,78%,0:06,96,94%
S5743,"WELLMARK  IA & SD, & BCBS MN, MT, NE, ND,& WY","BCBS MN, MT, NE, ND, WY, Wellmark IA and SD",PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,97%,100.00%,0.19%,0:09,90%,7.6%,0.55%,100.00%,100%,99,1.71,6.7%,18.24%,78%,0:16,97,98%
S5753,WISCONSIN PHYSICIANS SERVICE INSURANCE CORPORATION,Wisconsin Physicians Service Ins Corporation.,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,100.00%,0.00%,0:31,82%,7.5%,0.98%,99.70%,100%,99,0.27,2.5%,18.58%,77%,0:09,98,97%
S5755,UNITED AMERICAN INSURANCE COMPANY,Torchmark Corporation,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,94%,66.67%,0.58%,0:48,77%,8.2%,0.83%,99.60%,100%,100,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,25.18%,Not enough data available,0:09,98,98%
S5766,"FIRST CARE, INC.","CareFirst, Inc.",PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,75%,100.00%,0.00%,0:24,89%,8.7%,1.26%,100.00%,100%,101,CMS Found Issues with Plan's Data,4.4%,20.70%,Not enough data available,0:02,98,98%
S5768,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,Aetna Inc.,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,98%,100.00%,0.38%,0:31,92%,7.4%,0.77%,99.90%,96%,99,0.15,5.4%,24.36%,81%,0:09,98,99%
S5775,PHARMACY INSURANCE CORPORATION OF AMERICA,Pharmacy Insurance Corporation of America,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,1.67%,0:40,52%,7.4%,0.42%,No data available,100%,99,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,No data available,78%,0:18,76,100%
S5795,USABLE MUTUAL INSURANCE COMPANY,USAble Mutual Insurance Company,PDP,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,100%,100.00%,0.83%,0:16,94%,9.7%,1.22%,100.00%,100%,100,CMS Found Issues with Plan's Data,47.4%,28.25%,Not enough data available,0:20,98,98%
