CY2011 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,
  * See next worksheet for technical notes.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Part D,,,,,,,,1/1/2009 - 12/31/2009,Part C,,,,,,,,,,,,,,
,,,Access,,,Call Center,Patient Safety,,,Plan Finder,,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,,,,,,,,,,
H7731,MD Care Healthplan,"MD CARE, INC.",100.00%,100.00%,90.10%,0.00%,8.30%,1.83%,48.46%,100.00%,21.90%,Not enough data available to calculate measure,21.16%,Not enough data available to calculate measure,Not enough data available to calculate measure,45.00%,,,,,,,,,,
H7787,HealthSpring Medicare Advantage PPO,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",Not measured,100.00%,90.73%,1.83%,7.91%,1.14%,49.01%,100.00%,32.40%,Not enough data available to calculate measure,80.22%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H7908,Aetna Medicare,AETNA HEALTH,100.00%,100.00%,Not measured,0.00%,5.35%,1.69%,52.43%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H7917,BlueCross BlueShield of Tennessee,BLUE CROSS BLUE SHIELD OF TENNESSEE,Not measured,Not measured,91.62%,0.89%,7.90%,2.31%,56.27%,100.00%,9.77%,Not enough data available to calculate measure,81.23%,Not enough data available to calculate measure,Not enough data available to calculate measure,0.00%,,,,,,,,,,
H7949,SecureHorizons by UnitedHealthcare,"PACIFICARE OF NEVADA, INC.",Not measured,Not measured,Not measured,Not measured,8.52%,2.30%,66.75%,100.00%,10.42%,Not enough data available to calculate measure,85.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,15.05%,,,,,,,,,,
H8050,Carilion Clinic Medicare Health Plan,"CARILION CLINIC MEDICARE RESOURCES, LLC",Not measured,Not measured,90.00%,0.00%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H8105,Bravo Health,"BRAVO HEALTH INSURANCE COMPANY, INC.",Not measured,Not measured,Not measured,0.00%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H8130,Molina Healthcare of Florida,"MOLINA HEALTHCARE OF FLORIDA, INC.",Not measured,Not measured,91.99%,0.83%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H8189,Advantage by Managed Health Services,"MANAGED HEALTH SERVICES, WISCONSIN",Not measured,Not measured,Not measured,2.50%,0.00%,Not measured,100.00%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H8393,Coventry Health Care,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Not measured,Not measured,93.75%,0.83%,11.30%,0.00%,65.46%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H8468,Geisinger Gold,GEISINGER INDEMNITY INSURANCE COMPANY,,,,,,,,Not measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H8558,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY,Not measured,Not measured,Not measured,0.00%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H8578,"Health New England, Inc.","HEALTH NEW ENGLAND, INC.",Not measured,Not measured,Not measured,0.83%,6.95%,2.72%,69.73%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H8604,Health Plan SecureChoice,THP INSURANCE COMPANY,Not measured,Not measured,100.00%,0.00%,3.73%,0.00%,66.38%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H8644,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,100.00%,89.94%,1.48%,8.76%,1.83%,55.44%,100.00%,14.30%,42.86%,97.42%,Not enough data available to calculate measure,Not enough data available to calculate measure,23.60%,,,,,,,,,,
H8649,Altius Health Plans,"ALTIUS HEALTH PLANS, INC. (UTAH)",Not measured,Not measured,72.11%,0.00%,10.19%,1.75%,55.63%,100.00%,27.64%,Not enough data available to calculate measure,70.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,49.00%,,,,,,,,,,
H8684,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,Not measured,100.00%,Not measured,0.00%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H8707,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,100.00%,87.66%,1.54%,6.24%,1.39%,55.05%,100.00%,36.89%,Not enough data available to calculate measure,97.42%,Not enough data available to calculate measure,Not enough data available to calculate measure,10.96%,,,,,,,,,,
H8742,Universal American,"ABRI HEALTH PLAN, INC",Not measured,Not measured,88.24%,0.83%,7.22%,0.47%,52.32%,100.00%,26.29%,38.24%,80.34%,Not enough data available to calculate measure,Not enough data available to calculate measure,23.11%,,,,,,,,,,
H8748,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,100.00%,Not measured,95.51%,0.58%,10.81%,3.53%,54.32%,91.67%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H8778,Essence Healthcare,"ESSENCE HEALTHCARE, INC.",Not measured,Not measured,68.67%,0.00%,7.66%,1.27%,54.05%,100.00%,8.99%,Not enough data available to calculate measure,98.09%,Not enough data available to calculate measure,Not enough data available to calculate measure,26.52%,,,,,,,,,,
H8822,"ADVANTAGE Health Solutions, Inc.","ADVANTAGE HEALTH SOLUTIONS, INC.",Not measured,Not measured,99.11%,4.17%,4.39%,2.58%,58.20%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H8953,"Humana Health Plan of Ohio, Inc.","HUMANA HEALTH PLAN OF OHIO, INC.",100.00%,Not measured,92.42%,1.54%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H8980,HealthAmerica,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,0.00%,Not measured,90.24%,0.00%,6.50%,1.10%,60.18%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H8991,Amerigroup Community Care,"AMERIGROUP FLORIDA, INC.",Not measured,Not measured,94.25%,1.67%,5.71%,1.12%,48.35%,100.00%,30.35%,40.82%,72.09%,Not enough data available to calculate measure,Not enough data available to calculate measure,1.60%,,,,,,,,,,
H9001,Fallon Community Health Plan,FALLON COMMUNITY HEALTH PLAN,Not measured,100.00%,67.41%,0.42%,6.45%,1.42%,68.70%,100.00%,5.61%,96.15%,73.76%,54.07%,90.35%,88.08%,,,,,,,,,,
H9003,Kaiser Permanente,KAISER FOUNDATION HP OF THE N W,100.00%,Not measured,84.19%,1.67%,2.41%,0.65%,75.48%,100.00%,2.30%,78.95%,80.16%,66.52%,91.57%,78.71%,,,,,,,,,,
H9005,HealthPartners Classic Plan,"HEALTHPARTNERS, INC.",Not measured,Not measured,Not measured,0.00%,4.94%,1.60%,70.28%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H9011,SecureHorizons by UnitedHealthcare,"UNITEDHEALTHCARE OF FLORIDA, INC.",Not measured,Not measured,90.92%,0.47%,7.85%,2.40%,50.06%,91.67%,39.53%,Not enough data available to calculate measure,85.29%,41.94%,Not enough data available to calculate measure,11.34%,,,,,,,,,,
H9047,Providence Health Plans,PROVIDENCE HEALTH PLAN,0.00%,Not measured,95.03%,0.00%,6.60%,1.16%,68.06%,100.00%,2.81%,76.60%,91.67%,58.46%,91.51%,68.61%,,,,,,,,,,
H9082,"Molina Healthcare of New Mexico, Inc.","MOLINA HEALTHCARE OF NEW MEXICO, INC.",Not measured,Not measured,84.00%,0.00%,5.74%,4.05%,44.83%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H9101,"Elderplan, Inc.","ELDERPLAN, INC.  - SHMO",Not measured,Not measured,Not measured,0.83%,5.82%,1.09%,53.71%,100.00%,72.98%,Not enough data available to calculate measure,82.10%,36.76%,92.96%,36.01%,,,,,,,,,,
H9103,Kaiser Permanente,KAISER FOUNDATION HP OF THE N W,Not measured,Not measured,Not measured,1.67%,2.40%,0.69%,75.39%,100.00%,11.42%,Not enough data available to calculate measure,80.16%,70.59%,Not enough data available to calculate measure,83.59%,,,,,,,,,,
H9104,SCAN Health Plan,SCAN HEALTH PLAN,100.00%,Not measured,78.48%,0.00%,8.18%,1.14%,61.30%,100.00%,6.85%,41.67%,83.66%,47.49%,83.57%,46.96%,,,,,,,,,,
H9149,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,Not measured,0.00%,0.00%,0.00%,Not measured,91.67%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H9184,Bravo Health,"BRAVO HEALTH MID-ATLANTIC, INC.",Not measured,Not measured,89.89%,0.00%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H9302,Puget Sound Health Partners,"PUGET SOUND HEALTH PARTNERS, INC.",Not measured,Not measured,81.63%,0.00%,7.13%,0.64%,66.99%,100.00%,7.69%,Not enough data available to calculate measure,81.80%,Not enough data available to calculate measure,Not enough data available to calculate measure,21.90%,,,,,,,,,,
H9313,Advantage Plans from Medical Mutual of Ohio,MEDICAL MUTUAL OF OHIO,100.00%,Not measured,89.80%,0.00%,6.64%,1.08%,65.29%,100.00%,38.84%,Not enough data available to calculate measure,75.03%,Not enough data available to calculate measure,Not enough data available to calculate measure,39.17%,,,,,,,,,,
H9385,SCAN Health Plan Arizona,SCAN HEALTH PLAN OF ARIZONA,100.00%,Not measured,92.48%,0.00%,9.79%,1.55%,67.69%,100.00%,7.26%,Not enough data available to calculate measure,70.96%,Not enough data available to calculate measure,Not enough data available to calculate measure,26.32%,,,,,,,,,,
H9452,Anthem Blue Cross and Blue Shield,"ROCKY MOUNTAIN HOSPITAL AND MEDICAL SERVICES, INC.",Not measured,Not measured,93.48%,0.00%,8.08%,0.60%,52.09%,100.00%,38.30%,Not enough data available to calculate measure,75.86%,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,,,,,,,,,,
H9503,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,100.00%,93.67%,1.31%,7.61%,1.05%,59.65%,100.00%,27.84%,Not enough data available to calculate measure,97.42%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H9519,Independent Health,INDEPENDENT HEALTH BENEFITS CORPORATION,Not measured,Not measured,Not measured,0.00%,5.29%,0.88%,63.71%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H9572,Blue Cross Blue Shield of Michigan,BLUE CROSS BLUE SHIELD OF MICHIGAN,71.43%,100.00%,93.90%,0.00%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H9615,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.",0.00%,Not measured,87.02%,0.00%,8.33%,1.54%,70.11%,100.00%,13.87%,Not enough data available to calculate measure,65.56%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H9670,UPMC Health Plan,"UPMC HEALTH BENEFITS, INC.",Not measured,Not measured,Not measured,2.50%,Not measured,0.00%,42.86%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H9720,"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","AMERICA'S 1ST CHOICE HEALTH PLANS, INC.",Not measured,Not measured,81.73%,0.84%,9.63%,1.40%,54.68%,100.00%,21.89%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H9779,"Guardian Healthcare, Inc.","GUARDIAN HEALTHCARE, INC.",Not measured,Not measured,90.48%,0.00%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H9793,Highmark Inc.,"HIGHMARK, INC.",100.00%,100.00%,100.00%,0.83%,7.99%,0.92%,75.36%,100.00%,6.42%,67.39%,92.08%,62.50%,76.09%,Plan not required to report measure,,,,,,,,,,
H9847,Coventry Health Care,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,100.00%,Not measured,91.88%,0.00%,4.06%,2.10%,54.79%,100.00%,30.91%,Not enough data available to calculate measure,75.33%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H9859,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.",100.00%,100.00%,93.60%,0.00%,6.21%,0.59%,71.34%,100.00%,14.34%,Not enough data available to calculate measure,65.56%,60.00%,Not enough data available to calculate measure,63.08%,,,,,,,,,,
H9988,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY,Not measured,Not measured,Not measured,0.00%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
R3175,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,33.33%,0.00%,92.96%,1.64%,7.11%,1.56%,54.50%,91.67%,9.64%,Not enough data available to calculate measure,0 - Plan reported a Biased Rate,Not enough data available to calculate measure,Not enough data available to calculate measure,23.84%,,,,,,,,,,
R3332,"Blue Cross and Blue Shield of Florida, Inc.","BLUE CROSS AND BLUE SHIELD OF FL, INC.",100.00%,100.00%,89.12%,0.83%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
R3444,Care Improvement Plus,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,Not measured,Not measured,87.92%,0.00%,10.25%,1.23%,49.04%,100.00%,22.08%,32.05%,81.39%,38.18%,77.61%,11.89%,,,,,,,,,,
R5287,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,34.78%,100.00%,90.45%,1.09%,6.74%,1.71%,55.18%,91.67%,16.12%,59.92%,85.29%,44.62%,78.42%,25.93%,,,,,,,,,,
R5342,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,16.67%,100.00%,92.98%,1.67%,6.52%,1.45%,59.34%,91.67%,18.72%,71.78%,85.29%,56.10%,80.52%,25.69%,,,,,,,,,,
R5566,MedicareBlue PPO,"BCBS MN, MT, NE, ND, WY, WELLMARK IA AND SD",100.00%,Not measured,Not measured,0.83%,5.87%,2.07%,73.46%,100.00%,13.43%,63.04%,87.37%,48.95%,80.49%,1.32%,,,,,,,,,,
R5674,"Sierra Health and Life Insurance Company, Inc.","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.",100.00%,100.00%,98.55%,1.87%,5.69%,0.00%,56.76%,100.00%,12.79%,Not enough data available to calculate measure,81.40%,Not enough data available to calculate measure,Not enough data available to calculate measure,2.28%,,,,,,,,,,
R5826,Humana Insurance Company,HUMANA INSURANCE COMPANY,98.46%,97.50%,90.07%,1.48%,7.28%,1.34%,57.36%,100.00%,32.96%,58.24%,97.42%,49.40%,73.18%,22.87%,,,,,,,,,,
R5941,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",73.33%,100.00%,93.59%,0.00%,8.11%,1.40%,58.48%,100.00%,11.25%,71.91%,83.09%,43.24%,68.83%,41.67%,,,,,,,,,,
R6801,Care Improvement Plus,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,Not measured,Not measured,91.52%,0.00%,8.78%,1.27%,42.83%,100.00%,24.59%,41.18%,81.39%,42.72%,77.59%,10.46%,,,,,,,,,,
R7444,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,40.00%,100.00%,92.39%,0.58%,4.67%,1.19%,63.31%,91.67%,12.90%,Not enough data available to calculate measure,85.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
R9896,Care Improvement Plus,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO,100.00%,100.00%,90.88%,0.00%,9.44%,0.99%,43.50%,100.00%,18.33%,33.33%,81.39%,42.14%,72.02%,12.56%,,,,,,,,,,
R9943,Anthem Blue Cross Life & Health Insurance Company,ANTHEM BLUE CROSS LIFE AND HEALTH INSURANCE CO.,68.75%,83.33%,88.71%,0.00%,7.07%,1.58%,57.79%,100.00%,10.54%,55.15%,86.96%,55.61%,75.21%,33.33%,,,,,,,,,,
S0043,"Preferred Medicare Choice, Inc.","PREFERRED MEDICARE CHOICE, INC.",0.00%,0.00%,88.57%,0.81%,9.22%,1.70%,32.58%,100.00%,19.25%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S0197,First Health Part D,CAMBRIDGE LIFE INSURANCE COMPANY,Not measured,Not measured,88.83%,0.00%,8.12%,2.21%,62.44%,100.00%,29.87%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S0655,Tufts Health Plan Medicare Preferred,TUFTS INSURANCE COMPANY,Not measured,Not measured,95.21%,4.17%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S1030,BlueRx,BCBS OF ALABAMA AND BCBS OF TENNESSEE,80.00%,100.00%,91.26%,0.00%,11.16%,1.97%,58.99%,100.00%,8.11%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S1822,HealthPartners National PDP,"HEALTHPARTNERS, INC",Not measured,Not measured,Not measured,Not measured,6.33%,0.00%,69.86%,100.00%,Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S2321,AmeriHealth Rx,QCC INS CO D/B/A AMERIHEALTH INS CO,75.00%,100.00%,Not measured,0.00%,10.85%,3.22%,64.35%,100.00%,16.42%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S2468,Blue Shield of California,CA PHYSICIANS' SERVICE DBA BLUE SHIELD OF CA,76.92%,68.42%,85.90%,0.00%,8.79%,1.82%,65.26%,100.00%,5.94%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S2505,Windsor Rx,"WINDSOR HEALTH PLAN, INC",89.47%,100.00%,96.07%,0.00%,10.76%,0.53%,49.08%,100.00%,12.26%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S2770,AmeriHealth Advantage,QCC INS CO D/B/A AMERIHEALTH INS CO,52.31%,72.73%,Not measured,0.83%,9.75%,1.04%,62.66%,100.00%,30.28%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S2873,Bella Vista PharmaCare,"PLAN MEDICO SERVICIOS DE SALUD BELLA VISTA, INC.",Not measured,Not measured,Not measured,3.28%,11.84%,0.00%,29.56%,100.00%,Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S2874,"Humana Insurance of Puerto Rico, Inc","HUMANA INSURANCE OF PUERTO RICO, INC",Not measured,Not measured,85.00%,3.33%,6.08%,1.96%,29.19%,100.00%,Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S2893,Blue MedicareRx,BCBS RI & BCBS MA & BCBS VT & ANTHEM INSURANCE CO.,96.07%,92.50%,95.25%,0.00%,7.30%,1.77%,69.18%,100.00%,9.46%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S3230,Advantage Plans from Medical Mutual of Ohio,MEDICAL MUTUAL OF OHIO,,,,,,,,Not measured,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S3389,UPMC Health Plan,"UPMC HEALTH BENEFITS, INC",Not measured,Not measured,96.23%,2.50%,8.09%,2.11%,63.31%,91.67%,5.05%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S3440,Alliance Medicare Rx,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,Not measured,Not measured,85.05%,0.83%,11.01%,0.70%,61.03%,100.00%,30.28%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S3521,Simply Prescriptions,"EXCELLUS HEALTH PLAN, INC",100.00%,100.00%,95.54%,0.00%,9.52%,2.27%,68.81%,100.00%,14.23%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S3994,HMSA's Medicare Rx Plan,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),Not measured,Not measured,Not measured,Not measured,4.39%,0.00%,72.79%,100.00%,0.59%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S4248,Geisinger Gold,GEISINGER INDEMNITY INSURANCE COMPANY,Not measured,Not measured,Not measured,0.83%,5.45%,0.00%,59.86%,100.00%,Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S4802,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY,0.00%,100.00%,94.68%,0.84%,9.15%,1.80%,65.32%,100.00%,26.43%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5540,Blue Cross and Blue Shield of North Carolina,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,70.00%,100.00%,98.01%,0.00%,9.86%,1.66%,59.40%,100.00%,7.13%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5552,Humana Insurance Company of New York,HUMANA INSURANCE COMPANY OF NEW YORK,96.30%,94.59%,88.28%,1.54%,8.30%,1.42%,61.66%,100.00%,21.91%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5555,MCS Classicare,"MCS ADVANTAGE, INC.",0.00%,Not measured,Not measured,1.65%,8.11%,1.63%,34.97%,100.00%,14.56%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5557,Fox Insurance Company,FOX INSURANCE COMPANY,73.58%,53.57%,Not measured,1.89%,8.94%,1.51%,56.64%,100.00%,26.94%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5566,HISC - BLUE CROSS AND BLUE SHIELD OF OKLAHOMA,HCSC INSURANCE SERVICES COMPANY,100.00%,100.00%,82.69%,0.00%,10.48%,2.13%,61.39%,100.00%,4.69%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5569,First Health Part D,CAMBRIDGE LIFE INSURANCE COMPANY,66.67%,100.00%,96.76%,0.83%,8.08%,1.38%,58.16%,100.00%,9.22%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5580,First United American Life Insurance Company,FIRST UNITED AMERICAN LIFE INSURANCE COMPANY,100.00%,100.00%,92.39%,1.67%,7.54%,0.87%,61.80%,100.00%,14.86%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5584,Blue Cross Blue Shield of Michigan,BLUE CROSS BLUE SHIELD OF MICHIGAN,88.89%,88.89%,90.71%,0.00%,8.14%,1.47%,64.97%,100.00%,10.23%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5585,HealthNow New York Inc.,HEALTHNOW NEW YORK INC.,Not measured,Not measured,98.11%,0.00%,10.06%,0.00%,54.52%,100.00%,Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5588,Paramount Prescription Drug Plan,PARAMOUNT INSURANCE COMPANY,Not measured,Not measured,Not measured,Not measured,6.31%,3.17%,67.94%,100.00%,Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5593,Highmark Senior Resources Inc.,HIGHMARK SENIOR RESOURCES INC.,100.00%,81.82%,94.29%,0.00%,8.83%,1.15%,65.30%,100.00%,11.15%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
S5596,Blue MedicareRx,"ANTHEM INSURANCE COMPANIES, INC.",80.15%,94.39%,89.76%,0.31%,9.30%,1.40%,62.00%,100.00%,10.56%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
