CY2015 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,Both Part C & Part D,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring of Patients Taking Long-term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Special Needs Plan (SNP) Care Management - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Reminders for Appointments - DMC16,Reminders for Immunizations - DMC17,Reminders for Screening Tests - DMC18,Computer used during Office Visits - DMC19,Computer use by Provider Helpful - DMC20,Computer use Made Talking to Provider Easier - DMC21,Breast Cancer Screening - DMC22,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Drug-Drug Interactions  - DMD03,Diabetes Medication Dosing - DMD04,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD05,MPF – Stability - DMD06,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD07,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD08,Getting Information from Drug Plan - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD11,Transition monitoring - failure rate for all other drugs - DMD12,Reminders to fill prescriptions - DMD13,Reminders to take medications - DMD14,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07",Beneficiary Access and Performance Problems - DME08
H8822,"ADVANTAGE Health Solutions, Inc.","ADVANTAGE HEALTH SOLUTIONS, INC.",Advantage Health Solutions,Not enough data available,78%,47%,Not enough data available,86%,77%,Not enough data available,92%,79%,96%,100.0%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,52%,33%,27%,88%,Not enough data available,43%,67%,No data available,No data available,6.8%,0.73%,100%,97,8.1%,No data available,No data available,89,0.0%,0.0%,39%,16%,No data available,0.00,20,40,15,9,10,80
H8851,Senior Whole Health of New York,"SENIOR WHOLE HEALTH OF NEW YORK, INC.","SWH Holdings, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8870,Molina Healthcare of Illinois,"MOLINA HEALTHCARE OF ILLINOIS, INC.","Molina Healthcare, Inc.,",Not enough data available,73%,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,No data available,Not enough data available,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,No data available,No data available,100%,No data available,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,100
H8908,"Humana Medical Plan of Michigan, Inc.","HUMANA MEDICAL PLAN OF MICHIGAN, INC.",Humana Inc.,Not enough data available,97%,Not enough data available,Not enough data available,90%,No data available,Not enough data available,No data available,No data available,91%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,3.9%,0.00%,100%,105,Plan too small to be measured,No data available,No data available,96,No data available,No data available,No data available,No data available,No data available,No Data Available,30,23,26,6,14,100
H8953,"Humana Health Plan of Ohio, Inc.","HUMANA HEALTH PLAN OF OHIO, INC.",Humana Inc.,43%,97%,50%,86%,92%,73%,20%,No data available,77%,95%,72.2%,70%,77%,44%,3%,57%,38%,35%,91%,Not enough data available,57%,67%,100%,No data available,5.1%,0.75%,100%,98,25.2%,22.86%,86%,97,0.0%,0.0%,53%,25%,96%,CMS Found Issues with Plan's Data,29,33,25,9,14,80
H8980,Coventry Health Care,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Aetna Inc.,Not enough data available,81%,61%,Not enough data available,93%,75%,42%,92%,70%,95%,Plan not required to report measure,59%,61%,Not enough data available,Not enough data available,55%,50%,39%,72%,Not enough data available,53%,69%,100%,No data available,5.7%,0.27%,96%,99,22.6%,No data available,84%,98,No data available,0.0%,36%,16%,97%,0.82,23,32,16,11,9,80
H8991,Amerigroup,"AMERIGROUP FLORIDA, INC.","WellPoint, Inc.",41%,86%,74%,Not enough data available,93%,65%,21%,93%,49%,94%,27.7%,80%,84%,31%,2%,65%,52%,54%,87%,93%,58%,67%,No data available,No data available,6.3%,0.09%,100%,98,17.9%,No data available,83%,99,No data available,0.0%,56%,46%,99%,CMS Found Issues with Plan's Data,31,44,13,19,19,80
H9001,Fallon Health,FALLON COMMUNITY HEALTH PLAN,Fallon Community Health Plan,83%,90%,51%,96%,96%,88%,33%,92%,75%,98%,98.7%,77%,83%,26%,3%,50%,43%,34%,91%,94%,53%,88%,No data available,100.00%,3.9%,1.15%,92%,99,CMS Found Issues with Plan's Data,19.48%,82%,98,0.0%,0.0%,40%,19%,95%,0.47,2,48,8,2,3,80
H9003,Kaiser Permanente,KAISER FOUNDATION HP OF THE N W,"Kaiser Foundation Health Plan, Inc.",71%,81%,70%,93%,96%,86%,62%,92%,87%,96%,Plan not required to report measure,68%,85%,41%,4%,72%,52%,36%,95%,94%,57%,90%,No data available,No data available,1.6%,0.66%,100%,100,55.0%,14.81%,No data available,97,No data available,0.0%,9%,10%,66%,3.08,20,15,32,4,14,60
H9011,UnitedHealthcare,"UNITEDHEALTHCARE OF FLORIDA, INC.","UnitedHealth Group, Inc.",16%,86%,46%,90%,94%,79%,34%,No data available,52%,94%,Plan not required to report measure,74%,83%,35%,1%,62%,48%,38%,75%,Not enough data available,46%,69%,No data available,No data available,5.7%,1.45%,96%,99,13.0%,No data available,No data available,98,No data available,0.0%,51%,20%,99%,16.09,19,28,10,4,6,80
H9047,Providence Health Plans,PROVIDENCE HEALTH PLAN,Providence Health & Services,55%,55%,54%,94%,99%,85%,42%,91%,87%,98%,Plan not required to report measure,73%,93%,41%,3%,63%,35%,31%,88%,91%,45%,84%,100%,No data available,4.6%,1.38%,100%,No data available,CMS Found Issues with Plan's Data,17.50%,83%,98,0.0%,0.0%,21%,14%,96%,0.13,9,10,40,7,5,100
H9082,"Molina Healthcare of New Mexico, Inc.","MOLINA HEALTHCARE OF NEW MEXICO, INC.","Molina Healthcare, Inc.,",Not enough data available,73%,Not enough data available,Not enough data available,88%,68%,Not enough data available,No data available,74%,95%,Plan not required to report measure,Not enough data available,Not enough data available,58%,0%,64%,46%,49%,80%,Not enough data available,48%,72%,100%,No data available,3.6%,0.31%,100%,97,24.5%,No data available,81%,97,No data available,0.0%,41%,32%,92%,CMS Found Issues with Plan's Data,20,33,47,11,22,80
H9104,SCAN Health Plan,SCAN HEALTH PLAN,SCAN Health Plan,Not enough data available,80%,50%,Not enough data available,96%,74%,26%,90%,80%,98%,CMS Found Issues with Plan’s Data,53%,64%,9%,0%,58%,48%,30%,81%,Not enough data available,61%,60%,100%,No data available,8.2%,0.74%,100%,99,24.3%,4.35%,No data available,95,No data available,0.0%,35%,22%,No data available,2.92,12,14,15,6,10,100
H9110,Regence BlueCross BlueShield of Utah,REGENCE BLUECROSS BLUESHIELD OF UTAH,"Cambia Health Solutions, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H9115,MetroPlus Health Plan,"METROPLUS HEALTH PLAN, INC.",New York City Health and Hospitals Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9122,"AlphaCare of New York, Inc.","ALPHACARE OF NEW YORK, INC.","Magellan Health Services, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,93%,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H9190,Gateway Health Medicare Assured,"GATEWAY HEALTH PLAN OF OHIO, INC.","Gateway Health Plan, LP",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,86%,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H9207,Health Partners Medicare,"HEALTH PARTNERS PLANS, INC.","Health Partners Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,92%,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H9208,RiverLink Health,RIVERLINK HEALTH,Catholic Health Initiatives,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9264,Alliance CompleteCare Plus,ALAMEDA ALLIANCE JOINT POWERS AUTHORITY (JPA),Alameda Alliance for Health,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9285,EASY CHOICE HEALTH PLAN OF NEW YORK,"ATLANTIS HEALTH PLAN, INC.","America's 1st Choice NY Holdings, LLC",Not enough data available,84%,Not enough data available,Not enough data available,76%,Not enough data available,Not enough data available,No data available,No data available,70%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,3.7%,2.02%,96%,98,60.5%,No data available,No data available,97,No data available,0.0%,No data available,No data available,99%,No Data Available,36,50,19,14,22,100
H9302,Soundpath Health,"SOUNDPATH HEALTH, INC.",Catholic Health Initiatives,Not enough data available,74%,62%,92%,88%,81%,39%,90%,76%,96%,Plan not required to report measure,80%,84%,39%,2%,59%,34%,33%,87%,Not enough data available,48%,69%,0%,No data available,5.4%,0.21%,100%,98,11.6%,15.63%,82%,97,No data available,66.7%,27%,12%,94%,CMS Found Issues with Plan's Data,10,30,35,11,5,100
H9345,VillageCareMAX Full Advantage FIDA,VILLAGE SENIOR SERVICES CORPORATION,"Village Care of New York, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9385,SCAN Health Plan Arizona,SCAN HEALTH PLAN ARIZONA,SCAN Health Plan,31%,80%,55%,87%,94%,80%,35%,88%,75%,96%,No data available,60%,69%,33%,3%,55%,34%,35%,81%,Not enough data available,55%,70%,100%,No data available,5.2%,0.54%,100%,98,23.0%,22.73%,81%,93,0.0%,0.0%,32%,17%,98%,2.42,14,31,19,5,8,100
H9412,Geisinger Gold,"GEISINGER QUALITY OPTIONS, INC.",Geisinger Health System,Not enough data available,89%,Not enough data available,Not enough data available,96%,No data available,Not enough data available,No data available,No data available,93%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,100%,100.00%,No data available,No data available,100%,104,Plan too small to be measured,No data available,No data available,97,No data available,No data available,No data available,No data available,98%,No Data Available,No data available,No data available,No data available,No data available,No data available,100
H9487,Fidelis SecureCare of Michigan,FIDELIS SECURECARE OF MICHIGAN,"Fidelis SeniorCare, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9492,StableView Health,STABLEVIEW HEALTH,Catholic Health Initiatives,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9503,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,Not enough data available,97%,53%,Not enough data available,91%,77%,40%,No data available,76%,95%,Plan not required to report measure,61%,75%,34%,3%,58%,39%,33%,77%,Not enough data available,50%,66%,No data available,No data available,5.3%,0.92%,100%,98,17.4%,No data available,No data available,97,No data available,0.0%,50%,19%,95%,2.03,20,37,26,9,16,80
H9525,Anthem Blue Cross and Blue Shield,COMPCARE HEALTH SERVICES INSURANCE CORPORATION,"WellPoint, Inc.",Not enough data available,80%,Not enough data available,Not enough data available,89%,No data available,Not enough data available,93%,70%,93%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,58%,47%,48%,85%,Not enough data available,54%,Not enough data available,No data available,100.00%,4.6%,0.00%,100%,100,14.3%,No data available,79%,96,No data available,0.0%,37%,18%,96%,1.71,23,29,39,11,20,100
H9572,Blue Cross Blue Shield of Michigan,BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY,Blue Cross Blue Shield of Michigan,70%,77%,51%,87%,91%,85%,40%,91%,75%,97%,Plan not required to report measure,74%,69%,47%,4%,57%,37%,31%,76%,90%,45%,80%,100%,100.00%,5.4%,0.68%,96%,98,10.9%,13.08%,No data available,99,0.0%,0.0%,32%,10%,94%,0.14,16,10,38,5,10,80
H9576,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9615,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",Not enough data available,76%,62%,92%,94%,88%,34%,90%,79%,98%,Plan not required to report measure,74%,84%,40%,3%,54%,40%,30%,85%,93%,46%,81%,100%,100.00%,5.5%,0.95%,96%,100,14.3%,16.62%,85%,97,No data available,6.7%,33%,13%,94%,0.18,4,2,55,5,3,80
H9670,UPMC Health Plan,"UPMC HEALTH BENEFITS, INC.",UPMC Health System,Not enough data available,73%,Not enough data available,Not enough data available,87%,67%,Not enough data available,No data available,No data available,97%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,67%,No data available,No data available,8.7%,1.26%,100%,98,0.0%,18.18%,No data available,95,No data available,No data available,No data available,No data available,No data available,2.20,No data available,No data available,No data available,No data available,No data available,100
H9685,Mercy Maricopa Advantage,MERCY MARICOPA INTEGRATED CARE,Southwest Catholic Health Network,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H9689,Health Alliance Connect,"HEALTH ALLIANCE CONNECT, INC.",The Carle Foundation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9699,Health Advantage,"HMO PARTNERS, INC.",USAble Mutual Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,96%,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H9712,HAP Midwest MI Health Link,"HAP MIDWEST HEALTH PLAN, INC.",Henry Ford Health System,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
